task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-4.105006099645288,-0.00039774316903111223,,,13.600000000000001
1,-5.556929219315576,-0.0010224703920113916,,,18.4
2,-7.059762117680733,-0.0011452631027907725,,,23.200000000000003
3,-7.675469422823389,-0.001556382369739125,,,25.0
4,-7.797254684424396,-0.0018566064075320775,,,25.400000000000002
5,-8.15525217316885,-0.0018493127193743803,,,26.400000000000002
6,-8.522575597975615,-0.001658078958037558,-0.00039774316903111223,-5.383970947159694,27.400000000000002
7,-8.823095763110194,-0.0015465844570201794,-0.0010224703920113916,-6.554116665454766,28.400000000000002
8,-8.3806434019696,-0.0016511078552909951,-0.0011452631027907725,-6.784113629683221,27.000000000000004
9,-7.890278552127093,-0.001634156065202738,-0.001556382369739125,-7.554160831457568,25.6
10,-8.121264779027051,-0.001816422746151399,-0.0018566064075320775,-8.116495654449219,26.000000000000004
11,-8.031871207412333,-0.0014208500837309605,-0.0018493127193743803,-8.102834207253762,25.6
12,-7.869242712806445,-0.0015658684871158737,-0.001658078958037558,-7.744643690192195,25.2
13,-8.073271762542545,-0.0015465829039469643,-0.0015465844570201794,-7.535808844871152,25.8
14,-8.217552081865092,-0.0010807064844520135,-0.0016511078552909951,-7.731586461804145,26.2
15,-8.146429032599466,-0.0009146442980610036,-0.001634156065202738,-7.699834900707476,26.0
16,-7.887086064349161,-0.0011385113364000114,-0.001816422746151399,-8.041229622202847,25.6
17,-7.928323554830599,-0.00121485411152994,-0.0014208500837309605,-7.300301997826746,25.400000000000002
18,-7.587868385632023,-0.0009411896502081657,-0.0015658684871158737,-7.571928809581994,24.599999999999998
19,-8.061086611895007,-0.0020375506329609046,-0.0015465829039469643,-7.535805935886389,25.8
20,-8.24230358237803,-0.0022007911812841727,-0.0010807064844520135,-6.663195815062723,26.200000000000003
21,-8.180787698111502,-0.002818358725834328,-0.0009146442980610036,-6.3521529322999655,26.0
22,-8.468438696948366,-0.0030385149282057076,-0.0011385113364000114,-6.771467229394487,26.8
23,-9.112639035417706,-0.0031900633179825807,-0.00121485411152994,-6.914461112412563,28.400000000000002
24,-8.981149174394089,-0.0026975349112108647,-0.0009411896502081657,-6.401873720850614,28.400000000000002
25,-8.426057572378943,-0.003385772744415736,-0.0020375506329609046,-8.455413349800624,27.0
26,-8.411364515892199,-0.002700115008846033,-0.0022007911812841727,-8.76117116160426,26.8
27,-7.651825313976734,-0.002861152292596284,-0.002818358725834328,-9.91790643970847,25.0
28,-5.713901916699942,-0.0024818998917385737,-0.0030385149282057076,-10.3302701531577,19.000000000000004
29,-3.969859359674395,-0.0017371528702078767,-0.0031900633179825807,-10.614127960035308,13.2
