task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-3.556467428668869,-0.02061591060734136,-0.024285736022972328,-4.139238553527952,11.5
1,-4.13867804824131,-0.024285736022972328,-0.026153083993029298,-4.572739632358743,13.416666666666666
2,-4.688770776569736,-0.026153083993029298,-0.029338529640659035,-5.3122344383333395,15.166666666666666
3,-5.248121860073588,-0.029338529640659035,-0.031010854268363627,-5.7004612401345724,17.0
4,-5.73883377920695,-0.031010854268363627,-0.0336663318806428,-6.316925031668249,18.666666666666664
5,-6.27134235055256,-0.0336663318806428,-0.036282784161147996,-6.924329170851627,20.416666666666664
6,-7.0034698715662,-0.036282784161147996,-0.03591180739458051,-6.83820765996726,22.666666666666664
7,-7.049623062433749,-0.03591180739458051,-0.03629379897052874,-6.926886236715213,22.666666666666664
8,-7.105882203898354,-0.03629379897052874,-0.037442707288781546,-7.1936029940772945,22.833333333333332
9,-7.024228983761054,-0.037442707288781546,-0.0337138569542698,-6.327957882009574,22.666666666666664
10,-6.914147416552765,-0.0337138569542698,-0.032015140671361436,-5.933604310486565,22.416666666666664
11,-6.978795985919174,-0.032015140671361436,-0.030260032795856463,-5.526159544060621,22.583333333333332
12,-6.942538516136527,-0.030260032795856463,-0.033535748179426964,-6.286610287837694,22.416666666666664
13,-6.979326171670051,-0.033535748179426964,-0.033918245554938886,-6.3754062849379585,22.58333333333333
14,-7.019855607642314,-0.033918245554938886,-0.034062851991357786,-6.408976378567352,22.75
15,-6.99422037424252,-0.034062851991357786,-0.0363943723614925,-6.950234147326179,22.75
16,-7.091924034463391,-0.0363943723614925,-0.0364138318363432,-6.9547516253091395,23.0
17,-7.3471144635543055,-0.0364138318363432,-0.037091075832361195,-7.111972458069368,23.666666666666664
18,-7.236652951494969,-0.037091075832361195,-0.038595094121921185,-7.461127281680311,23.416666666666664
19,-7.263035842010273,-0.038595094121921185,-0.03897182983363791,-7.548585720108529,23.5
20,-7.40146516835896,-0.03897182983363791,-0.03665185873015733,-7.010009090395319,23.916666666666664
21,-7.354549299806838,-0.03665185873015733,-0.03722407727275283,-7.142848475191159,23.916666666666664
22,-7.573243994573549,-0.03722407727275283,-0.04384283486726544,-8.679379750427005,24.416666666666664
23,-7.603891090320552,-0.04384283486726544,-0.04492740134276668,-8.93115967828863,24.5
24,-7.544710114604399,-0.04492740134276668,-0.03798186054356521,-7.318766338751999,24.416666666666664
25,-6.925711839498435,-0.03798186054356521,-0.03573201519799632,-6.796469262820944,22.333333333333332
26,-6.335089675197746,-0.03573201519799632,-0.032401963113947684,-6.023404363216954,20.416666666666664
27,-5.801373825093688,-0.032401963113947684,-0.028398118116108387,-5.093919792656896,18.583333333333332
28,-5.212958245739454,-0.028398118116108387,-0.02572318102897851,-4.472938523140257,16.666666666666664
29,-4.4252592453029305,-0.02572318102897851,,,14.25
