task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-3.54899849510958,-0.0020170364826747203,-0.005885054997775261,-8.066180622001568,11.75
1,-5.507686119853549,-0.00249816101873591,-0.007536654020967617,-9.139896754871616,17.75
2,-7.236613545478107,-0.002894401352087901,-0.007392274297704871,-9.046034482038056,23.5
3,-7.654122401817432,-0.0035165425763411355,-0.007291359794474547,-8.980429254233107,24.75
4,-8.279532902867794,-0.0022840272141056734,-0.003957341369603604,-6.8129604438250055,26.25
5,-7.973585837070126,-0.0019667502662830787,-0.002646067246936388,-5.9604919206834595,25.75
6,-8.083293216421945,-0.005885054997775261,-0.0028746318341828364,-6.109083365267229,26.0
7,-7.771162686393831,-0.007536654020967617,-0.005107348514864095,-7.560588171525719,24.75
8,-7.239616409340611,-0.007392274297704871,-0.0048896881033686935,-7.419085608235254,23.5
9,-7.463395073179205,-0.007291359794474547,-0.0044236661622607506,-7.11612146899046,24.25
10,-7.275691400721154,-0.003957341369603604,-0.004145856744755595,-6.935515614149279,23.75
11,-6.54691572003492,-0.002646067246936388,-0.004590299297605309,-7.224450841421516,22.0
12,-6.540489428530104,-0.0028746318341828364,-0.004064585574461765,-6.882680655145098,21.75
13,-7.242528816333348,-0.005107348514864095,-0.0032897409706732885,-6.378948732400982,23.25
14,-7.658720903716566,-0.0048896881033686935,-0.004021096281388989,-6.854407960063759,24.25
15,-8.668055671114873,-0.0044236661622607506,-0.002649733751369316,-5.962875540984509,27.25
16,-9.14378089287443,-0.004145856744755595,-0.003172583511369069,-6.302783844692426,28.5
17,-8.318177161493399,-0.004590299297605309,-0.0030582099805773295,-6.22842880847605,26.5
18,-8.081163082356538,-0.004064585574461765,-0.0035623797307557836,-6.5561931065108885,26.0
19,-7.394288453600406,-0.0032897409706732885,-0.002958876575524304,-6.163851463708556,24.0
20,-6.723423839383278,-0.004021096281388989,-0.004423061064653646,-7.115728090783289,22.25
21,-6.9001872062924505,-0.002649733751369316,-0.006553082261327129,-8.500469841116185,23.0
22,-7.062344604474849,-0.003172583511369069,-0.006726342954745255,-8.613107835631169,23.5
23,-7.129199951443178,-0.0030582099805773295,-0.005961116321457165,-8.115628623107101,23.75
24,-7.144044483013616,-0.0035623797307557836,,,23.75
25,-6.928146335418817,-0.002958876575524304,,,23.0
26,-6.913634102045712,-0.004423061064653646,,,22.75
27,-7.243671418477122,-0.006553082261327129,,,23.25
28,-7.7993893759961885,-0.006726342954745255,,,24.75
29,-6.085569277474706,-0.005961116321457165,,,19.0
