task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-5.024406558483554,-0.026374483610653372,,,16.2
1,-6.849975368480717,-0.03176288110405982,,,21.8
2,-8.235913363908532,-0.0589989759055585,,,26.400000000000006
3,-7.772544610089607,-0.07660717109848734,,,25.400000000000002
4,-7.755046998382504,-0.08083631509993634,,,25.2
5,-7.158377022119132,-0.07326277300473392,-0.026374483610653372,-5.802314011259806,23.400000000000002
6,-7.030372301585508,-0.0733548938833887,-0.03176288110405982,-6.045261570240798,23.400000000000002
7,-7.35919516298889,-0.05131514062392377,-0.0589989759055585,-7.273259830631912,24.400000000000002
8,-7.710729773891414,-0.03568076246927914,-0.07660717109848734,-8.067163406865388,25.200000000000003
9,-7.968843014647211,-0.03238374541773841,-0.08083631509993634,-8.257843514075073,26.000000000000004
10,-8.080512249956652,-0.043117597477523285,-0.07326277300473392,-7.916373983083585,26.200000000000003
11,-7.523625700356471,-0.04367572133221091,-0.0733548938833887,-7.920527452204553,24.6
12,-7.027490890025227,-0.06610434224549597,-0.05131514062392377,-6.926817492706869,23.0
13,-7.187909895393898,-0.08421737859820681,-0.03568076246927914,-6.221907728068217,23.2
14,-6.999969277186716,-0.08404745734441194,-0.03238374541773841,-6.073254581085153,22.400000000000002
15,-7.053177965278108,-0.07750494287402243,-0.043117597477523285,-6.557213524273517,22.4
16,-7.145509331742935,-0.08387917386531309,-0.04367572133221091,-6.582377745783036,22.6
17,-7.63428573674944,-0.07340496113082334,-0.06610434224549597,-7.593620644782282,24.0
18,-7.535933653153765,-0.05360774330747126,-0.08421737859820681,-8.410286076946441,24.0
19,-7.199374018758219,-0.0648242252099414,-0.08404745734441194,-8.402624809588389,23.400000000000002
20,-7.68660683078142,-0.06229172605446402,-0.07750494287402243,-8.107641389726744,25.0
21,-7.890849807659414,-0.05591815776347553,-0.08387917386531309,-8.395037384845889,25.200000000000003
22,-7.863027012057525,-0.0466875666573303,-0.07340496113082334,-7.922784842377425,25.2
23,-7.7332227108863325,-0.046993774945582246,-0.05360774330747126,-7.030184444822537,24.8
24,-7.89449203174629,-0.04258651459522566,-0.0648242252099414,-7.535903798655299,25.200000000000003
25,-7.434011876867304,-0.04763076453229335,-0.06229172605446402,-7.421720595078072,23.800000000000004
26,-7.2247217698451065,-0.05415204678237124,-0.05591815776347553,-7.134354479235826,23.6
27,-7.437214485390913,-0.056538688674737526,-0.0466875666573303,-6.718173308501163,24.2
28,-5.950014330000897,-0.048249800684146325,-0.046993774945582246,-6.731979371669588,19.400000000000002
29,-4.530919639605353,-0.0352807373234048,-0.04258651459522566,-6.533268503508312,14.8
