task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-3.9205826136987065,-0.04025690002246099,-0.06869422311468222,-9.312756382709317,12.700000000000001
1,-4.719958073616082,-0.04487213872604888,-0.06844863188496235,-9.301112995764882,15.3
2,-5.6419394667709595,-0.04990269930506808,-0.05799046947361282,-8.805295487045326,18.1
3,-6.453239174296511,-0.05620216421244248,-0.061201373045455296,-8.957523206133141,20.8
4,-7.464919295281707,-0.06480657227614542,-0.02621173898280447,-7.298677941584048,23.900000000000002
5,-8.24302813630317,-0.06869422311468222,-0.02347720448037702,-7.169034699189011,26.5
6,-8.192152174607767,-0.06844863188496235,-0.024955462400977936,-7.2391183458764905,26.300000000000004
7,-8.438334996900991,-0.05799046947361282,0.00884352178958789,-5.636721339646066,26.800000000000004
8,-8.520211146854061,-0.061201373045455296,0.008921338892527825,-5.63303206034461,27.1
9,-8.476464612163783,-0.02621173898280447,0.013491001593205529,-5.416386086910513,27.0
10,-8.430984635172933,-0.02347720448037702,0.014679834375485038,-5.360023976129533,26.799999999999997
11,-8.517989446755942,-0.024955462400977936,0.014556036172526125,-5.365893201922817,27.099999999999998
12,-8.434826815847778,0.00884352178958789,0.014165805371291406,-5.384393896029829,27.0
13,-8.347984455415167,0.008921338892527825,0.015676088365027423,-5.312791952785664,26.799999999999997
14,-8.260223926674797,0.013491001593205529,-0.014703701378719207,-6.753086248638418,26.5
15,-8.220205778035954,0.014679834375485038,-0.016197324031437324,-6.823898331441235,26.400000000000002
16,-8.126488974079065,0.014556036172526125,-0.012542063129548489,-6.650603800068524,26.200000000000003
17,-7.998297884430585,0.014165805371291406,-0.04393441716972121,-8.138903384721107,26.100000000000005
18,-7.769069609709188,0.015676088365027423,-0.04394112130238137,-8.139221225104814,25.400000000000006
19,-7.533312097349718,-0.014703701378719207,-0.04328460333471978,-8.108095957552806,24.800000000000004
20,-7.54129650091857,-0.016197324031437324,-0.05386479879408026,-8.609699006739834,24.900000000000002
21,-7.4415902364792865,-0.012542063129548489,-0.045238973858407486,-8.200751921961828,24.6
22,-7.222889494068055,-0.04393441716972121,-0.0410179715600381,-8.000635805806871,24.000000000000004
23,-7.252020981813693,-0.04394112130238137,-0.03619958606565785,-7.772197979169047,23.900000000000006
24,-7.178685331862709,-0.04328460333471978,-0.03423788233970841,-7.67919435042538,23.700000000000003
25,-7.179897178464177,-0.05386479879408026,,,23.599999999999998
26,-6.557766049167094,-0.045238973858407486,,,21.5
27,-5.777934382514814,-0.0410179715600381,,,18.900000000000002
28,-5.067244711517244,-0.03619958606565785,,,16.6
29,-4.353321319670817,-0.03423788233970841,,,14.200000000000001
