task_idx,E_Ricci,Q_Ricci_raw,Q_Ricci_shifted,Q_Ricci_affine,H1_cycle_rank
0,-4.439576717462341,-0.03505964993740132,-0.03881109333424443,-8.313068006442554,14.272727272727273
1,-5.116775578323047,-0.03881109333424443,-0.04322777828358364,-8.719513366785291,16.454545454545453
2,-5.963358369283894,-0.04322777828358364,-0.04783311571409331,-9.143319468627224,19.090909090909093
3,-6.752715591805501,-0.04783311571409331,-0.019519160797376485,-6.537728229755933,21.636363636363637
4,-7.533804511435864,-0.019519160797376485,-0.023177900097149894,-6.874423654073897,23.909090909090907
5,-8.222795474822401,-0.023177900097149894,-0.018974540024813615,-6.487609512053967,26.181818181818187
6,-8.071924590028052,-0.018974540024813615,-0.01362955372701198,-5.995737235277242,25.72727272727273
7,-8.021141789814786,-0.01362955372701198,-0.014044945883689118,-6.033963691712503,25.54545454545455
8,-7.906751023240109,-0.014044945883689118,-0.01064412561748967,-5.7210032622476135,25.181818181818183
9,-7.880822075562209,-0.01064412561748967,-0.013570371775648814,-5.990291017169431,25.181818181818183
10,-7.840367613027414,-0.013570371775648814,-0.015124401571315711,-6.13330058373987,25.090909090909093
11,-7.870559339079161,-0.015124401571315711,-0.017059837859592492,-6.311409076564733,25.090909090909093
12,-7.822174580744,-0.017059837859592492,-0.015680448783965625,-6.184470819404264,24.90909090909091
13,-7.783327432987085,-0.015680448783965625,0.01437305095191082,-3.4187979969548974,24.81818181818182
14,-7.818506962588412,0.01437305095191082,-0.02159239761633097,-6.7285178141662625,25.0
15,-7.663539896242483,-0.02159239761633097,-0.022314599254971416,-6.794978408169293,24.81818181818182
16,-7.811614102631449,-0.022314599254971416,-0.02238998214336904,-6.801915517243155,25.181818181818183
17,-7.607482487519747,-0.02238998214336904,-0.027040886045125695,-7.2299148728575355,24.636363636363637
18,-7.597087796420206,-0.027040886045125695,-0.026395284113711167,-7.170503365661171,24.636363636363637
19,-7.564402638733649,-0.026395284113711167,-0.03069340993784721,-7.566038324443041,24.454545454545453
20,-7.640710184422039,-0.03069340993784721,-0.026855130612322427,-7.212820732187022,24.636363636363637
21,-7.736011746283514,-0.026855130612322427,-0.02425238978959916,-6.973303550476161,24.818181818181817
22,-7.636382892869332,-0.02425238978959916,-0.02322535980580734,-6.878791132988128,24.545454545454543
23,-7.571113773905819,-0.02322535980580734,-0.026256368134568008,-7.157719624948886,24.454545454545453
24,-7.409736233420912,-0.026256368134568008,-0.05170453043993479,-9.499586345556319,24.0
25,-6.585199481297979,-0.05170453043993479,-0.04405303678840981,-8.795457767216243,21.272727272727273
26,-5.959077628013544,-0.04405303678840981,-0.03967209584999595,-8.392301748895248,19.181818181818183
27,-5.122012458238039,-0.03967209584999595,-0.03606343111252695,-8.060214435355679,16.545454545454547
28,-4.630182362057737,-0.03606343111252695,-0.028494414024810438,-7.363675761453314,14.81818181818182
29,-3.962612242663643,-0.028494414024810438,,,12.636363636363637
