task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-31 14:26:42.385000+00:00,2026-01-31 14:26:43.374000+00:00,2026-01-31 14:26:42.879500+00:00,0.17,0.06,0.43,0.34,1.7308585461743458,-2.6896794760905407,0.8257692642750805,,
1,2026-01-31 14:26:48.165000+00:00,2026-01-31 14:26:48.705000+00:00,2026-01-31 14:26:48.435000+00:00,0.27,0.02,0.41,0.3,1.6713730636184887,-0.5048052736103809,2.0131148580195246,,
2,2026-01-31 14:26:53.888000+00:00,2026-01-31 14:26:54.440000+00:00,2026-01-31 14:26:54.164000+00:00,0.28,0.01,0.43,0.28,1.6184435889056248,-0.0018568126025302672,1.5664368662198198,-1.6819257414723092,2.634630487686331
3,2026-01-31 14:27:01.546000+00:00,2026-01-31 14:27:02.380000+00:00,2026-01-31 14:27:01.963000+00:00,0.21,0.02,0.43,0.34,1.6384383204482833,-2.4641113563792967,1.2253968190092188,-2.965203004784617,3.633550329779647
4,2026-01-31 14:27:07.325000+00:00,2026-01-31 14:27:07.844000+00:00,2026-01-31 14:27:07.584500+00:00,0.26,0.02,0.39,0.33,1.6757849383173165,-0.9276612004258707,2.2484114906442993,3.998704699730192,8.990733594566727
5,2026-01-31 14:27:30.404000+00:00,2026-01-31 14:27:31.194000+00:00,2026-01-31 14:27:30.799000+00:00,0.16,0.04,0.49,0.31,1.6368475099418005,2.5600769335254285,2.803690360639736,-4.331897329181713,12.145298785107785
6,2026-01-31 14:27:43.589000+00:00,2026-01-31 14:27:44.086000+00:00,2026-01-31 14:27:43.837500+00:00,0.19,0.03,0.47,0.31,1.6427434706940507,2.6885204701190535,1.56228748593188,2.923890709821912,4.567957866187255
7,2026-01-31 14:27:58.688000+00:00,2026-01-31 14:27:59.426000+00:00,2026-01-31 14:27:59.057000+00:00,0.15,0.03,0.49,0.33,1.5944158424111174,2.7361479126514574,3.6426657323132203,-0.08081609406122103,0.2943860164562118
8,2026-01-31 14:28:04.924000+00:00,2026-01-31 14:28:05.476000+00:00,2026-01-31 14:28:05.200000+00:00,0.21,0.02,0.47,0.3,1.6187455920243865,2.5157284134787825,1.2780670656819477,-0.2680469417050788,0.3425819682500302
9,2026-01-31 14:28:12.104000+00:00,2026-01-31 14:28:12.652000+00:00,2026-01-31 14:28:12.378000+00:00,0.2,0.06,0.46,0.28,1.7374749427940155,0.9939335044309575,1.0721828947259153,-1.30137540987515,1.3953124540850628
10,2026-01-31 14:28:17.144000+00:00,2026-01-31 14:28:18.033000+00:00,2026-01-31 14:28:17.588500+00:00,0.28,0.03,0.42,0.27,1.7016549934289742,-0.13843963615976163,2.7354937035793077,0.38942176845710597,1.0652607956511324
11,2026-01-31 14:28:22.603000+00:00,2026-01-31 14:28:23.168000+00:00,2026-01-31 14:28:22.885500+00:00,0.15,0.06,0.49,0.3,1.679449848094014,2.323354628107465,2.675833094084395,3.594167404857945,9.617392087598315
12,2026-01-31 14:28:28.287000+00:00,2026-01-31 14:28:28.791000+00:00,2026-01-31 14:28:28.539000+00:00,0.22,0.06,0.48,0.24,1.7265104831144724,0.9582791827160524,2.4199382112026036,-3.826869709658639,9.260788239696753
13,2026-01-31 14:28:34.304000+00:00,2026-01-31 14:28:35.077000+00:00,2026-01-31 14:28:34.690500+00:00,0.23,0.03,0.45,0.29,1.6757396829280418,0.35816297592344215,0.49082396208436785,0.7649592385988022,0.3754603243221054
14,2026-01-31 14:28:39.430000+00:00,2026-01-31 14:28:40.029000+00:00,2026-01-31 14:28:39.729500+00:00,0.21,0.01,0.41,0.37,1.5973754638202857,-2.422730268802797,2.0406216225224463,-2.1807770379336278,4.450140777507814
15,2026-01-31 14:28:44.707000+00:00,2026-01-31 14:28:45.230000+00:00,2026-01-31 14:28:44.968500+00:00,0.19,0.01,0.44,0.36,1.5734270495062046,-2.995537897029345,2.522992828947212,2.208085616499689,5.5709841761301995
16,2026-01-31 14:28:50.306000+00:00,2026-01-31 14:28:51.063000+00:00,2026-01-31 14:28:50.684500+00:00,0.3,0.06,0.36,0.28,1.8094588823554068,-0.32209746960587105,5.447604816337416,3.246248055650023,17.684276542985035
17,2026-01-31 14:28:55.708000+00:00,2026-01-31 14:28:56.230000+00:00,2026-01-31 14:28:55.969000+00:00,0.2,0.05,0.45,0.3,1.719973094024628,1.100792215461385,0.2851582323098754,-1.2505507423562197,0.35660483910410207
18,2026-01-31 14:29:02.525000+00:00,2026-01-31 14:29:03.046000+00:00,2026-01-31 14:29:02.785500+00:00,0.27,0.01,0.38,0.34,1.6360867430618513,-1.0151556845336334,2.2857981684505306,-3.538837585062274,8.089068470379246
19,2026-01-31 14:29:07.825000+00:00,2026-01-31 14:29:08.608000+00:00,2026-01-31 14:29:08.216500+00:00,0.23,0.01,0.38,0.38,1.6150120296695825,-1.837765022180819,2.302742394840383,1.2933385623478335,2.978225538400268
20,2026-01-31 14:29:13.925000+00:00,2026-01-31 14:29:14.429000+00:00,2026-01-31 14:29:14.177000+00:00,0.24,0.04,0.38,0.34,1.7395153684706663,-0.9545238540029308,2.6625882191980144,1.7058505058250724,4.541977460522811
21,2026-01-31 14:29:19.843000+00:00,2026-01-31 14:29:20.410000+00:00,2026-01-31 14:29:20.126500+00:00,0.21,0.03,0.47,0.29,1.6544494070976326,2.1194163889661586,0.9435762530994919,2.190699074791201,2.067091624660005
22,2026-01-31 14:29:26.111000+00:00,2026-01-31 14:29:26.841000+00:00,2026-01-31 14:29:26.476000+00:00,0.18,0.04,0.49,0.29,1.6532473773149805,2.2957494804738614,2.1207759451827988,-2.8976071514613855,6.145175545408957
23,2026-01-31 14:29:31.145000+00:00,2026-01-31 14:29:31.709000+00:00,2026-01-31 14:29:31.427000+00:00,0.17,0.03,0.49,0.31,1.6144299519080254,2.603646754496793,2.785765994615069,0.13156418251522872,0.3665070257602546
24,2026-01-31 14:29:37.065000+00:00,2026-01-31 14:29:37.658000+00:00,2026-01-31 14:29:37.361500+00:00,0.27,0.09,0.42,0.22,1.8288950403949786,0.22663509648434346,5.234739294725856,-2.6849089320353814,14.054798289286044
25,2026-01-31 14:29:42.025000+00:00,2026-01-31 14:29:42.798000+00:00,2026-01-31 14:29:42.411500+00:00,0.24,0.05,0.46,0.25,1.725566237629971,0.5236587104246551,2.1572241402420476,2.674035271952762,5.768493440515207
26,2026-01-31 14:29:48.969000+00:00,2026-01-31 14:29:49.520000+00:00,2026-01-31 14:29:49.244500+00:00,0.19,0.02,0.46,0.33,1.6112614030502428,3.0081695940974895,1.9490419761892543,2.1874872697325225,4.263504511088312
27,2026-01-31 14:29:55.305000+00:00,2026-01-31 14:29:55.872000+00:00,2026-01-31 14:29:55.588500+00:00,0.27,0.02,0.39,0.32,1.6787296988381315,-0.757567328034799,2.4635830169542507,0.032937501374463274,0.08114426900703502
