t,valid,kappa,MQ,a,kL,kS,mL,g,h,MRS_old,MRS_valley,MRS_gmm,MRS_h
0.0,0,,0.5002959842796362,,0.3432613625161769,-0.0157309113612771,0.3446180288918721,0.0027045644472292025,,0,0,0,0
1.0,0,,0.5002959842796362,,0.3344834271116994,-0.0167110347250338,0.302065122063145,0.0031195208816380436,,0,0,0,0
2.0,1,2.9884219083780024,0.5002959842796362,0.5350735237723642,0.3432613625161769,-0.0004404491951999,0.302065122063145,-0.00267886329077157,0.01576432166409779,1,0,0,1
3.0,1,0.0024617941411611,0.5002959842796362,0.7713142205362523,0.3432613625161769,0.0286637415671503,0.302065122063145,-0.012920206921517791,0.10446208854959294,1,0,0,1
4.0,1,0.1613125342704762,0.5002959842796362,0.7117797708675966,0.3756844822265934,0.0275621836202084,0.302065122063145,-0.0128022272016826,0.07154848519094903,1,0,0,1
5.0,1,0.7021619472137184,0.5002959842796362,0.7335170999668047,0.4230102817920868,0.0311470547907454,0.302065122063145,-0.014457270246491613,0.08125934828822767,1,0,0,1
6.0,1,1.471294225375109,0.5002959842796362,0.6758768569396624,0.4230102817920868,0.0319009674828656,0.302065122063145,-0.014722561214745302,0.05252974639118449,1,0,0,1
7.0,1,0.0136145504408027,0.5002959842796362,0.7410939403590385,0.4230102817920868,0.0462346409209604,0.302065122063145,-0.019766373508620417,0.08009721207683804,1,0,0,1
8.0,1,0.7112661698209457,0.5002959842796362,0.7012604703148325,0.4998689141978129,0.0419128888206932,0.302065122063145,-0.018884796118071524,0.060243453441951075,1,0,0,1
9.0,1,0.1516677162388506,0.5002959842796362,0.6702487760688286,0.4998689141978129,0.0421678003474733,0.302065122063145,-0.01897449579611824,0.045780965573970434,1,0,0,1
10.0,1,0.2759038897257247,0.5002959842796362,0.6211091364504582,0.4998689141978129,0.0369650091262111,0.302065122063145,-0.017143708842752587,0.02783080506624122,1,0,0,1
11.0,1,0.1008686342743286,0.5002959842796362,0.6419529309456983,0.5531429546946252,0.0403799537356474,0.302065122063145,-0.018788424947730614,0.03414174595652468,1,0,0,1
12.0,1,0.115942158571384,0.5002959842796362,0.6636364127394149,0.5665386573510724,0.0480699353499425,0.302065122063145,-0.02160582180222377,0.04027817069787602,1,0,0,1
13.0,1,0.0375140147137358,0.5002959842796362,0.5952612546560113,0.5665386573510724,0.0386912565114896,0.302065122063145,-0.01830560041585021,0.017658748663546178,1,0,0,1
14.0,1,0.0045470402125742,0.5002959842796362,0.5735418931541719,0.6232440178282126,0.0332289991656961,0.302065122063145,-0.016855093712420038,0.012243564521459305,1,0,0,1
15.0,1,0.4466908970516409,0.188940073504108,0.5380319211427352,0.6232440178282126,0.0256434029670332,0.302065122063145,-0.01418583216349265,0.005010827740574542,1,0,0,1
16.0,1,0.553046931343985,0.188940073504108,0.5328356192767824,0.6740063970275973,0.0244371164856331,0.302065122063145,-0.014183516011865379,0.003696819702303289,1,0,0,1
17.0,1,0.2279487147695538,0.188940073504108,0.5473178349305688,0.6740063970275973,0.0172985194212971,0.302065122063145,-0.011671546990830912,0.009960418977593685,1,0,0,1
18.0,1,1.1534549708699202,0.188940073504108,0.5440598970205635,0.6740063970275973,0.0096440778225155,0.302065122063145,-0.008978059741702167,0.011787280170141246,1,0,0,1
19.0,1,0.3344834271116994,0.188940073504108,0.5795221150921277,0.6232440178282126,0.0073729681132289,0.302065122063145,-0.007756730487076112,0.02316956431503523,1,0,0,1
20.0,1,0.926643521634378,0.188940073504108,0.584183078693987,0.6232440178282126,-0.000318234428338,0.302065122063145,-0.005050307594062656,0.027333305875752868,1,0,0,1
21.0,1,0.3520392979206543,0.188940073504108,0.577055175936917,0.6232440178282126,0.0008735801252504,0.302065122063145,-0.005469689891515602,0.024696955506449896,1,0,0,1
22.0,1,0.5532389780452652,0.188940073504108,0.556361047248129,0.6740063970275973,-0.0024919732009178,0.302065122063145,-0.004707558978903661,0.01939985630320249,1,0,0,1
23.0,1,1.1258324968289566,0.188940073504108,0.553109534071164,0.6740063970275973,-0.0063163341993942,0.302065122063145,-0.00336182167690359,0.01984363805093936,1,0,0,1
24.0,1,0.3993296665325326,0.188940073504108,0.5842167487607748,0.6338992813715341,-0.0085693095260085,0.302065122063145,-0.00223548673811443,0.030158759556852092,1,0,0,1
25.0,1,0.6666496989995455,0.188940073504108,0.5937773613974227,0.6338992813715341,-0.0166255661340958,0.302065122063145,0.0005993933990658368,0.036074482976805225,1,0,0,1
26.0,1,0.2109548811870747,0.188940073504108,0.602929849719352,0.5904936002002013,-0.0209120245340725,0.302065122063145,0.002468713693122181,0.04100947417971332,1,0,0,1
27.0,1,0.0387631719521659,0.188940073504108,0.6054399948697805,0.5904936002002013,-0.0291501729929168,0.302065122063145,0.005367598940853217,0.044769267999347134,1,0,0,1
28.0,1,0.5798383366568798,0.188940073504108,0.6087365095599448,0.5904936002002013,-0.0393856648882713,0.302065122063145,0.008969320445017057,0.04951486747989152,1,0,0,1
29.0,1,0.1126985590055084,0.188940073504108,0.6168157725346657,0.5868566427570485,-0.0445919324423234,0.302065122063145,0.010831576944791229,0.054244784597924124,1,0,0,1
30.0,1,0.1447335451341398,0.415190170622182,0.5646389976266223,0.6412559793995859,-0.0439360823499169,-0.4492025862189083,0.010096564844676546,0.036561190648658225,1,0,0,1
31.0,1,2.7734588113667034,0.415190170622182,0.6236685590774566,0.6861975759526006,-0.0447267104747897,-0.4492025862189083,0.01000102460311431,0.055918740991451374,1,0,0,1
32.0,1,2.512269768849003,0.415190170622182,0.6340439994451073,0.6861975759526006,-0.0178562578506693,-0.4492025862189083,0.000545701104022398,0.05038316653572731,1,0,0,1
33.0,1,0.989429038297828,0.415190170622182,0.570750582842679,0.6412559793995859,-0.0108717837057318,-0.4492025862189083,-0.0015382834522486403,0.026723411105904947,1,0,0,1
34.0,1,1.61408629441411,0.415190170622182,0.5448422800909511,0.5868566427570485,-0.0114887254286031,-0.4492025862189083,-0.0008687857032569265,0.020103462835497375,1,0,0,1
35.0,1,0.6973296516059585,0.415190170622182,0.5134375045883098,0.5868566427570485,-0.0066265621878768,-0.4492025862189083,-0.0025797105987010794,0.01067500586739329,0,0,0,1
36.0,1,1.97968342191412,0.415190170622182,0.4983013014795079,0.5684443111684324,-0.0089283360775731,-0.4492025862189083,-0.00161662595184389,0.008336708977336287,0,0,0,1
37.0,1,0.6813630950556491,0.415190170622182,0.4484441446755716,0.5442628176236731,-0.0030399773741381,-0.4492025862189083,-0.003487551992481602,-0.0026039061879074565,0,0,0,0
38.0,1,0.691032056849552,0.415190170622182,0.4258680501655703,0.4830427799489596,-0.0057387422444854,-0.4492025862189083,-0.0020287673417125106,-0.00439587752577781,0,0,0,0
39.0,1,0.4418841252168637,0.415190170622182,0.4262488514049442,0.4830427799489596,-0.0055637715404668,-0.4492025862189083,-0.002090337000865726,-0.004406807964634472,0,0,0,0
40.0,1,1.664843918280744,0.415190170622182,0.4777143843129707,0.5442628176236731,0.0035707935641883,-0.4492025862189083,-0.005813786636707943,6.71113046809349e-05,0,0,0,1
41.0,1,2.610370273899492,0.415190170622182,0.4470540433914852,0.5442628176236731,0.0086868410018545,-0.4492025862189083,-0.007614049707692133,-0.006945409296853194,0,0,0,0
42.0,1,0.121683904621527,0.415190170622182,0.458272868483727,0.5442628176236731,0.0209315782709954,-0.4492025862189083,-0.01192279558781124,-0.009462014543651899,0,0,0,0
43.0,1,0.812962199835036,0.415190170622182,0.445489161193593,0.5684443111684324,0.017020638208509,-0.4492025862189083,-0.010747694556333221,-0.010318727487760165,0,0,0,0
44.0,1,0.5725644217705742,0.415190170622182,0.4212283852655352,0.5442628176236731,0.013862347847682,-0.4492025862189083,-0.00943523568411056,-0.012408018585096669,0,0,0,0
45.0,1,1.1278945038464785,-1.3135953430599987,0.4410693498244254,0.4675707914521332,0.0094995630791928,-0.3318899972978321,-0.007254143444816756,-0.007488648302742755,0,0,0,0
46.0,1,0.1416749893716466,-1.3135953430599987,0.4767641029258962,0.4040318129780772,0.0109299388181217,-0.1803180740956913,-0.007218602912307528,-0.001514345553744162,0,0,0,0
47.0,1,0.3808673910106154,-1.3135953430599987,0.4830540318066672,0.4040318129780772,0.0035282207560934,-0.1803180740956913,-0.004614045419192349,0.002277814596370095,0,0,0,1
48.0,1,0.2364956757226984,-1.3135953430599987,0.4889248706565462,0.4040318129780772,-0.0009108871795111,-0.1803180740956913,-0.0030519875645788714,0.004987798024935007,0,0,0,1
49.0,1,0.2085950545195992,-1.3135953430599987,0.4808380479037362,0.4197553731188694,-0.0049832067552973,-0.1803180740956913,-0.0017497601336316177,0.004718738742188942,0,0,0,1
50.0,1,0.9437820258070724,-1.3135953430599987,0.4424538689236121,0.4763860163477918,-0.0059389375806011,-0.1803180740956913,-0.001884413533274291,-0.001913214118158986,0,0,0,0
51.0,1,0.8528040714610131,-1.3135953430599987,0.467511496317159,0.4197553731188694,-0.0060406301810653,-0.1803180740956913,-0.001377668129599671,0.0026578953015852433,0,0,0,1
52.0,1,0.6011488637435227,-1.3135953430599987,0.4715819165228035,0.4197553731188694,-0.0028643443313875,-0.1803180740956913,-0.0024953571635139156,0.0022629090188121675,0,0,0,1
53.0,1,0.2359350459546207,-1.3135953430599987,0.4538239905440932,0.4197553731188694,-0.0005172014897504,-0.1803180740956913,-0.003321282769483611,-0.0015867975004887833,0,0,0,0
54.0,1,0.0516606831001273,-1.3135953430599987,0.4571477304077751,0.4197553731188694,-0.0074056376348197,-0.1803180740956913,-0.0008973417564468076,0.001377803240000211,0,0,0,1
55.0,1,0.3262463373109937,-1.3135953430599987,0.3757747955335134,0.4763860163477918,-0.0053447438750392,-0.1803180740956913,-0.0020935017010771896,-0.009937869854723853,0,0,0,0
56.0,1,0.1773803309040674,-1.3135953430599987,0.3133661268968601,0.5442628176236731,-0.0025563276829392,-0.1803180740956913,-0.003639193448253862,-0.015321380272919818,0,0,0,0
