task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2025-12-21 23:02:15.731000+00:00,2025-12-21 23:02:16.771000+00:00,2025-12-21 23:02:16.251000+00:00,0.26,0.21,0.3,0.23,1.9868687756989374,-3.1200325315302138,1.3660463083264698,,
1,2025-12-21 23:02:22.019000+00:00,2025-12-21 23:02:22.609000+00:00,2025-12-21 23:02:22.314000+00:00,0.22,0.23,0.26,0.29,1.9914331684777948,-2.63985505599382,3.0174067277554055,,
2,2025-12-21 23:02:28.254000+00:00,2025-12-21 23:02:28.792000+00:00,2025-12-21 23:02:28.523000+00:00,0.25,0.26,0.27,0.22,1.995883233930051,1.9550313402244521,0.5012315222102528,-2.1684763864977077,1.0869087200812344
3,2025-12-21 23:02:35.175000+00:00,2025-12-21 23:02:36.012000+00:00,2025-12-21 23:02:35.593500+00:00,0.3,0.27,0.23,0.2,1.9831645166375826,0.4413377582872288,2.357034765938083,0.17460532902409032,0.41155083082783867
4,2025-12-21 23:02:40.601000+00:00,2025-12-21 23:02:41.152000+00:00,2025-12-21 23:02:40.876500+00:00,0.25,0.19,0.3,0.26,1.9816044093776728,-2.836375235567037,2.674514543830373,4.519165895262545,12.086574912861884
5,2025-12-21 23:02:46.246000+00:00,2025-12-21 23:02:46.799000+00:00,2025-12-21 23:02:46.522500+00:00,0.27,0.2,0.3,0.23,1.9831645166375826,-3.0631786235526937,1.282545414282026,-3.2322757013109777,4.1455403784116145
6,2025-12-21 23:02:51.217000+00:00,2025-12-21 23:02:52.054000+00:00,2025-12-21 23:02:51.635500+00:00,0.25,0.2,0.27,0.28,1.9886275195933982,-2.4902030016102756,2.804048215233879,0.7997790099280748,2.242618905370337
7,2025-12-21 23:02:56.391000+00:00,2025-12-21 23:02:56.928000+00:00,2025-12-21 23:02:56.659500+00:00,0.35,0.17,0.21,0.27,1.9475321664641738,-1.1234326601512676,1.4718763407962454,0.79379471951659,1.1683676671054604
8,2025-12-21 23:03:00.275000+00:00,2025-12-21 23:03:00.831000+00:00,2025-12-21 23:03:00.553000+00:00,0.33,0.24,0.23,0.2,1.9740102613429769,0.28407260021276753,2.521884664839546,0.04073491890502723,0.10272876731007068
9,2025-12-21 23:03:05.099000+00:00,2025-12-21 23:03:05.648000+00:00,2025-12-21 23:03:05.373500+00:00,0.37,0.2,0.18,0.25,1.9404222778117122,-0.1740037374054109,2.3621997299384168,-1.8655815979822137,4.406876346931665
10,2025-12-21 23:03:09.078000+00:00,2025-12-21 23:03:09.907000+00:00,2025-12-21 23:03:09.492500+00:00,0.34,0.25,0.2,0.21,1.9663824985451805,0.21056311882629317,3.0615393057827487,0.8426431938498824,2.579785258721727
11,2025-12-21 23:03:14.190000+00:00,2025-12-21 23:03:14.747000+00:00,2025-12-21 23:03:14.468500+00:00,0.26,0.2,0.26,0.28,1.9891825391878437,-2.332806080781326,2.596898458220811,-2.927936055839323,7.60355262917826
12,2025-12-21 23:03:20.284000+00:00,2025-12-21 23:03:20.848000+00:00,2025-12-21 23:03:20.566000+00:00,0.27,0.25,0.23,0.25,1.9976892194101314,-1.2762632691562419,1.0492198437703149,3.599912011232703,3.7770991180124565
13,2025-12-21 23:03:23.197000+00:00,2025-12-21 23:03:23.826000+00:00,2025-12-21 23:03:23.511500+00:00,0.33,0.18,0.28,0.21,1.9601735931674709,0.8308521891931218,0.676107948571542,1.0505726467242797,0.710300517002128
14,2025-12-21 23:03:28.247000+00:00,2025-12-21 23:03:28.800000+00:00,2025-12-21 23:03:28.523500+00:00,0.22,0.33,0.27,0.18,1.963725048442769,1.5196086966589681,4.262383277407112,-1.4183589508835173,6.0455894736066
15,2025-12-21 23:03:33.640000+00:00,2025-12-21 23:03:34.165000+00:00,2025-12-21 23:03:33.902500+00:00,0.29,0.16,0.33,0.22,1.9493166856996502,2.6441233086763556,2.308102618653158,0.43575810455154107,1.0057744222147484
16,2025-12-21 23:03:37.523000+00:00,2025-12-21 23:03:38.051000+00:00,2025-12-21 23:03:37.787000+00:00,0.26,0.25,0.27,0.22,1.995883233930051,1.7744106305260274,0.2340415701955606,-1.9942272901677156,0.46673208631769003
17,2025-12-21 23:03:42.323000+00:00,2025-12-21 23:03:43.091000+00:00,2025-12-21 23:03:42.707000+00:00,0.31,0.22,0.26,0.21,1.9824793919545036,0.13230816660106776,1.0829657522373566,-0.7723897857746316,0.8364716853718746
18,2025-12-21 23:03:47.213000+00:00,2025-12-21 23:03:47.749000+00:00,2025-12-21 23:03:47.481000+00:00,0.29,0.25,0.24,0.22,1.9926116974708235,-0.07330305761733774,1.1958475294144975,1.4364912397065541,1.7178245000286514
19,2025-12-21 23:03:51.622000+00:00,2025-12-21 23:03:52.176000+00:00,2025-12-21 23:03:51.899000+00:00,0.35,0.21,0.27,0.17,1.9475321664641738,0.8289055826826616,3.159286083842677,1.1078198645184048,3.499919881377476
20,2025-12-21 23:03:55.981000+00:00,2025-12-21 23:03:56.558000+00:00,2025-12-21 23:03:56.269500+00:00,0.28,0.19,0.3,0.23,1.9782041554688226,-3.046219031380868,1.2151224290053793,1.5058520528160575,1.8297946041405844
21,2025-12-21 23:04:00.467000+00:00,2025-12-21 23:04:01.267000+00:00,2025-12-21 23:04:00.867000+00:00,0.37,0.2,0.22,0.21,1.9485112106311941,0.21514433147559414,2.6417184116399506,-5.429882637439181,14.344220936367178
22,2025-12-21 23:04:03.933000+00:00,2025-12-21 23:04:04.493000+00:00,2025-12-21 23:04:04.213000+00:00,0.31,0.22,0.22,0.25,1.9849413739108202,-0.9285091527470173,1.6216584011747956,1.8781684601005129,3.0457476621435258
23,2025-12-21 23:04:06.967000+00:00,2025-12-21 23:04:07.530000+00:00,2025-12-21 23:04:07.248500+00:00,0.33,0.11,0.25,0.31,1.901903748673586,-2.853604992258803,2.8661878134158654,-0.7814423552891743,2.2397605556168223
24,2025-12-21 23:04:11.045000+00:00,2025-12-21 23:04:12.751000+00:00,2025-12-21 23:04:11.898000+00:00,0.32,0.16,0.3,0.22,1.95071405499237,2.4664013333106367,0.9237023123154022,0.961916857901639,0.8885248258989101
25,2025-12-21 23:04:16.538000+00:00,2025-12-21 23:04:17.350000+00:00,2025-12-21 23:04:16.944000+00:00,0.35,0.2,0.23,0.22,1.9627273088734858,-0.048646714896479086,1.895631954737984,-1.5518690665969688,2.9417725922106226
26,2025-12-21 23:04:24.581000+00:00,2025-12-21 23:04:25.134000+00:00,2025-12-21 23:04:24.857500+00:00,0.2,0.22,0.3,0.28,1.980269057838521,-3.0408862861431043,3.938707833666616,-0.4771915230395103,1.8795179899550227
27,2025-12-21 23:04:28.511000+00:00,2025-12-21 23:04:29.038000+00:00,2025-12-21 23:04:28.774500+00:00,0.24,0.24,0.3,0.22,1.9899320546458883,2.6291354821873685,1.468397576555571,2.3790760323975126,3.4934294804139507
28,2025-12-21 23:04:31.566000+00:00,2025-12-21 23:04:32.141000+00:00,2025-12-21 23:04:31.853500+00:00,0.34,0.25,0.18,0.23,1.962149026153501,0.056439419400041026,2.8686184227859037,-1.9595325239382149,5.621151098217323
29,2025-12-21 23:04:35.354000+00:00,2025-12-21 23:04:36.107000+00:00,2025-12-21 23:04:35.730500+00:00,0.29,0.21,0.23,0.27,1.9884161669270326,-1.6728828711822563,1.9021583213942739,0.8433737722050303,1.6042304388454771
