task_idx,bin_start_utc,bin_end_utc,x_Delta,x_Theta,x_Alpha,x_Beta,x_Gamma,theta_h,radius,dtheta,d2theta,kappa_torus,dr,d2r,kappa_geom
0,2026-01-31 14:54:16.213500+00:00,2026-01-31 14:54:16.463500+00:00,16.665031296719782,3.455591288067187,84.88825503553463,34.58788199597085,3.0412292943390145,2.324214525743247,1.1999266867364262,,,,,,
0,2026-01-31 14:54:16.338500+00:00,2026-01-31 14:54:16.588500+00:00,15.37032376221898,2.6630687708816523,50.99338333044863,21.11409141740645,2.8670535772101466,2.1011274963214457,0.9758031863879841,-0.2230870294218015,,,-0.22412350034844208,,
0,2026-01-31 14:54:16.463500+00:00,2026-01-31 14:54:16.713500+00:00,14.240671214094842,2.29782627613527,16.65841077324019,11.250704000417862,5.371060308568058,1.7968665449914754,0.5868856575436112,-0.30426095132997033,-0.08117392190816883,0.08117392190816883,-0.3889175288443729,-0.16479402849593083,0.16479402849593083
0,2026-01-31 14:54:16.588500+00:00,2026-01-31 14:54:16.838500+00:00,16.79787785796974,2.043455151877968,6.412414747914765,22.134752550400652,9.661374778603811,2.1411250280184286,0.13427189042821663,0.3442584830269533,0.6485194343569236,0.6485194343569236,-0.4526137671153946,-0.06369623827102167,0.06369623827102167
0,2026-01-31 14:54:16.713500+00:00,2026-01-31 14:54:16.963500+00:00,20.233866677702522,2.4213534908083356,8.218982103766184,32.82220903526727,9.763956008335288,2.953580816272381,0.19065738252360848,0.8124557882539523,0.468197305226999,0.468197305226999,0.05638549209539184,0.5089992592107864,0.5089992592107864
0,2026-01-31 14:54:16.838500+00:00,2026-01-31 14:54:17.088500+00:00,19.460876756119355,2.2145996150195018,14.095976899585324,27.542474329046048,5.913678768016853,2.159011476696885,0.48016752268315904,-0.7945693395754958,-1.607025127829448,1.607025127829448,0.28951014015955057,0.23312464806415872,0.23312464806415872
0,2026-01-31 14:54:16.963500+00:00,2026-01-31 14:54:17.213500+00:00,11.977310102167058,1.1539786075345098,22.658982163926133,20.872350009003252,3.68162931900516,2.0089222201245804,0.7242834397923552,-0.15008925657230465,0.6444800830031912,0.6444800830031912,0.24411591710919617,-0.0453942230503544,0.0453942230503544
0,2026-01-31 14:54:17.088500+00:00,2026-01-31 14:54:17.338500+00:00,4.749859884173225,0.7330347780484769,37.398904162301704,21.067598329143777,4.5484886733417085,2.094098957596987,0.7478401531305725,0.08517673747240638,0.23526599404471105,0.23526599404471105,0.023556713338217294,-0.22055920377097887,0.22055920377097887
0,2026-01-31 14:54:17.213500+00:00,2026-01-31 14:54:17.463500+00:00,7.081336319660396,1.92545637840775,58.93724087753825,21.37064596641799,5.771561149589854,2.200757128949581,0.7973386700929903,0.10665817135259426,0.021481433880187875,0.021481433880187875,0.049498516962417805,0.02594180362420051,0.02594180362420051
0,2026-01-31 14:54:17.338500+00:00,2026-01-31 14:54:17.588500+00:00,17.938586443985802,4.684228659692355,77.59177261200044,19.778801913931744,7.401680831475195,2.2703722770184775,0.8039063948503123,0.06961514806889646,-0.037043023283697796,0.037043023283697796,0.006567724757322035,-0.04293079220509577,0.04293079220509577
0,2026-01-31 14:54:17.463500+00:00,2026-01-31 14:54:17.713500+00:00,23.546545009889307,10.806515829849927,89.60061473937316,64.72489775077662,21.400827400727582,-2.3125580584671734,1.0032323654506217,1.7002549716939355,1.630639823625039,1.630639823625039,0.19932597060030932,0.19275824584298729,0.19275824584298729
0,2026-01-31 14:54:17.588500+00:00,2026-01-31 14:54:17.838500+00:00,18.358835487492016,24.03114661494523,89.61180612593233,144.40411328465962,39.01160421214105,-1.9367241430236637,2.8497671963064586,0.37583391544350975,-1.3244210562504257,1.3244210562504257,1.846534830855837,1.6472088602555277,1.6472088602555277
0,2026-01-31 14:54:17.713500+00:00,2026-01-31 14:54:17.963500+00:00,15.812154817682664,39.4605921436851,65.80957179264445,149.42958206043681,39.07589321542214,-1.8913148368456507,2.9078715429418684,0.045409306178012976,-0.33042460926549677,0.33042460926549677,0.058104346635409865,-1.788430484220427,1.788430484220427
0,2026-01-31 14:54:17.838500+00:00,2026-01-31 14:54:18.088500+00:00,19.231102430731845,43.13032214169198,38.80509737807425,110.06116783258477,36.01550530488753,-1.7558857756590878,2.3772747126317793,0.13542906118656295,0.09001975500854999,0.09001975500854999,-0.5305968303100892,-0.5887011769454991,0.5887011769454991
0,2026-01-31 14:54:17.963500+00:00,2026-01-31 14:54:18.213500+00:00,23.228976541098746,30.18007278973925,26.84840782472841,78.31190047242377,32.34543049703819,-1.6512910131758696,1.9111309910940264,0.10459476248321821,-0.03083429870334474,0.03083429870334474,-0.46614372153775285,0.06445310877233634,0.06445310877233634
