task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-02-01 06:41:22.197000+00:00,2026-02-01 06:41:23.051000+00:00,2026-02-01 06:41:22.624000+00:00,0.43,0.18,0.23,0.16,1.8795565951010307,-2.332137186465054,1.4227119931056917,,
1,2026-02-01 06:41:30.312000+00:00,2026-02-01 06:41:30.855000+00:00,2026-02-01 06:41:30.583500+00:00,0.52,0.14,0.2,0.14,1.749182539189697,-0.22865653918421613,1.0142481056839017,,
2,2026-02-01 06:41:35.013000+00:00,2026-02-01 06:41:35.571000+00:00,2026-02-01 06:41:35.292000+00:00,0.46,0.17,0.22,0.15,1.841040461535692,-1.8144459440470118,0.6854820515038893,-3.6892700521436335,2.5289284038952786
3,2026-02-01 06:41:40.412000+00:00,2026-02-01 06:41:41.163000+00:00,2026-02-01 06:41:40.787500+00:00,0.5,0.14,0.2,0.16,1.7845127868234896,-1.475479403067982,1.188153775351227,1.9247559458418253,2.2869060436816864
4,2026-02-01 06:41:47.173000+00:00,2026-02-01 06:41:47.691000+00:00,2026-02-01 06:41:47.432000+00:00,0.49,0.19,0.21,0.11,1.7826180017720796,0.6667639861571024,2.307487769764038,1.8032768482460546,4.161039272826412
5,2026-02-01 06:41:51.593000+00:00,2026-02-01 06:41:52.094000+00:00,2026-02-01 06:41:51.843500+00:00,0.43,0.14,0.3,0.13,1.8244083141252971,2.9126693076905137,1.9368265717639708,0.10366193230832677,0.20077518497516533
6,2026-02-01 06:41:56.633000+00:00,2026-02-01 06:41:57.413000+00:00,2026-02-01 06:41:57.023000+00:00,0.34,0.24,0.23,0.19,1.9662023461294045,-2.6577957375687475,3.0859190912366103,-1.5331850596130863,4.731285045858764
7,2026-02-01 06:42:01.533000+00:00,2026-02-01 06:42:02.087000+00:00,2026-02-01 06:42:01.810000+00:00,0.5,0.12,0.22,0.16,1.7706576387024227,-1.9591410173711867,1.3038945287183172,-0.014065541722764419,0.01833998289577174
8,2026-02-01 06:42:06.272000+00:00,2026-02-01 06:42:06.805000+00:00,2026-02-01 06:42:06.538500+00:00,0.42,0.23,0.22,0.13,1.8765315028569787,1.0895468960643615,0.9287778825652091,2.350033193237988,2.1826588531735354
9,2026-02-01 06:42:10.532000+00:00,2026-02-01 06:42:11.100000+00:00,2026-02-01 06:42:10.816000+00:00,0.38,0.2,0.3,0.12,1.8829954369205775,2.4611162083788414,2.1938474074037577,-1.6771186011210686,3.679342294978073
10,2026-02-01 06:42:14.233000+00:00,2026-02-01 06:42:15.032000+00:00,2026-02-01 06:42:14.632500+00:00,0.43,0.21,0.2,0.16,1.8837900674927102,-1.7515698179886212,0.7893803965210742,0.6989299684976436,0.5517216156731317
11,2026-02-01 06:42:18.253000+00:00,2026-02-01 06:42:18.786000+00:00,2026-02-01 06:42:18.519500+00:00,0.44,0.14,0.24,0.18,1.8576990880546784,-2.3599770859936195,2.93517257251477,-2.678906548817123,7.863053026418219
12,2026-02-01 06:42:21.293000+00:00,2026-02-01 06:42:21.827000+00:00,2026-02-01 06:42:21.560000+00:00,0.54,0.15,0.16,0.15,1.7241497599260063,-0.25985647213686214,1.8154335782106004,2.708527881861757,4.917152464251468
13,2026-02-01 06:42:24.933000+00:00,2026-02-01 06:42:25.477000+00:00,2026-02-01 06:42:25.205000+00:00,0.41,0.15,0.25,0.19,1.8931560035429167,-2.453983982549019,3.76895349080927,-4.294248124268915,16.184821458364485
14,2026-02-01 06:42:28.873000+00:00,2026-02-01 06:42:29.373000+00:00,2026-02-01 06:42:29.123000+00:00,0.46,0.22,0.21,0.11,1.819018597056116,0.7866231026374617,2.3756375508016054,-0.8484507115809485,2.015611370436044
15,2026-02-01 06:42:32.472000+00:00,2026-02-01 06:42:33.235000+00:00,2026-02-01 06:42:32.853500+00:00,0.52,0.2,0.17,0.11,1.7398357563032707,0.5050579149082576,3.4473611206836727,2.761013034263901,9.51820898802223
16,2026-02-01 06:42:36.233000+00:00,2026-02-01 06:42:36.781000+00:00,2026-02-01 06:42:36.507000+00:00,0.51,0.17,0.22,0.1,1.7427828167698256,0.7509629070483361,2.707367310957896,0.5274701798692831,1.4280555224831788
17,2026-02-01 06:42:39.612000+00:00,2026-02-01 06:42:40.144000+00:00,2026-02-01 06:42:39.878000+00:00,0.48,0.16,0.21,0.15,1.814653941305185,-1.3075926186209033,0.7294077623483027,-2.3044605178093187,1.6808913897153062
18,2026-02-01 06:42:42.853000+00:00,2026-02-01 06:42:43.378000+00:00,2026-02-01 06:42:43.115500+00:00,0.42,0.2,0.26,0.12,1.8623874264280766,1.8489032277436397,1.1291529283001625,-1.068133935145804,1.2060865606866602
19,2026-02-01 06:42:46.953000+00:00,2026-02-01 06:42:47.513000+00:00,2026-02-01 06:42:47.233000+00:00,0.48,0.15,0.23,0.14,1.8035916611076528,-1.5320892697074284,0.27648661234675326,6.02888227054356,1.666905235219991
20,2026-02-01 06:42:50.754000+00:00,2026-02-01 06:42:51.272000+00:00,2026-02-01 06:42:51.013000+00:00,0.44,0.27,0.16,0.13,1.8368294886331487,0.612602695957322,2.5636521663224165,-0.7575008440637669,1.9419686798751352
21,2026-02-01 06:42:53.993000+00:00,2026-02-01 06:42:54.546000+00:00,2026-02-01 06:42:54.269500+00:00,0.59,0.1,0.2,0.11,1.5959808841381329,0.5975643693222926,2.7339765187125487,-2.1597302922997796,5.904651905899787
22,2026-02-01 06:42:59.794000+00:00,2026-02-01 06:43:00.830000+00:00,2026-02-01 06:43:00.312000+00:00,0.49,0.15,0.21,0.15,1.7981945286937393,-1.2834018117665702,0.7637446966549339,-1.865927854453834,1.4250925031798352
23,2026-02-01 06:43:02.992000+00:00,2026-02-01 06:43:03.552000+00:00,2026-02-01 06:43:03.272000+00:00,0.48,0.15,0.22,0.15,1.8099320546472863,-1.7097341769233212,0.7525274607371607,1.4546338159321115,1.0946518918057984
24,2026-02-01 06:43:06.319000+00:00,2026-02-01 06:43:07.087000+00:00,2026-02-01 06:43:06.703000+00:00,0.5,0.17,0.17,0.16,1.7921907288638348,-0.7891172016163651,1.3731886495367738,1.3469493404637074,1.8496155458258066
25,2026-02-01 06:43:10.793000+00:00,2026-02-01 06:43:11.357000+00:00,2026-02-01 06:43:11.075000+00:00,0.49,0.17,0.21,0.13,1.7943358610054363,0.2791541417345059,1.0731993399165833,0.14765436804391552,0.15846257032053038
26,2026-02-01 06:43:15.379000+00:00,2026-02-01 06:43:15.910000+00:00,2026-02-01 06:43:15.644500+00:00,0.39,0.21,0.27,0.13,1.895285876693291,2.536854361410625,1.3980569461035524,1.1894288763252483,1.6628893024426565
27,2026-02-01 06:43:18.373000+00:00,2026-02-01 06:43:18.950000+00:00,2026-02-01 06:43:18.661500+00:00,0.35,0.12,0.36,0.17,1.8623699502268118,-3.025413381109155,5.845620251203416,-1.5367826550163146,8.983447809861522
28,2026-02-01 06:43:22.434000+00:00,2026-02-01 06:43:23.224000+00:00,2026-02-01 06:43:22.829000+00:00,0.55,0.12,0.22,0.11,1.6723004131019161,0.6698385095012755,2.1052974891409,-3.308850981228961,6.966115662722735
29,2026-02-01 06:43:27.953000+00:00,2026-02-01 06:43:28.461000+00:00,2026-02-01 06:43:28.207000+00:00,0.47,0.17,0.22,0.14,1.8242261012867773,-0.6276290983587065,0.3405455716722209,1.2904658087091736,0.43946241655032037
