task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-31 15:03:35.857000+00:00,2026-01-31 15:03:36.803000+00:00,2026-01-31 15:03:36.330000+00:00,0.2,0.02,0.47,0.31,1.6130129542931242,2.5084243019929415,1.3976157021204638,,
1,2026-01-31 15:03:41.097000+00:00,2026-01-31 15:03:41.617000+00:00,2026-01-31 15:03:41.357000+00:00,0.16,0.02,0.42,0.4,1.5903116342572003,-2.9237444724290538,2.848825041162554,,
2,2026-01-31 15:03:47.042000+00:00,2026-01-31 15:03:47.792000+00:00,2026-01-31 15:03:47.417000+00:00,0.16,0.05,0.46,0.33,1.6822712258587975,2.4449552054676813,1.8682939732778743,-1.765502162040442,3.298477049149215
3,2026-01-31 15:03:52.998000+00:00,2026-01-31 15:03:53.490000+00:00,2026-01-31 15:03:53.244000+00:00,0.2,0.03,0.44,0.33,1.6651217241904215,-3.1315835349935863,0.4288997267754356,1.6211321960011698,0.6953031559317636
4,2026-01-31 15:03:59.459000+00:00,2026-01-31 15:03:59.942000+00:00,2026-01-31 15:03:59.700500+00:00,0.17,0.04,0.43,0.36,1.674520661724226,-3.1011185932322705,1.2896491935413688,-0.6761816249570027,0.8720370873132909
5,2026-01-31 15:04:04.537000+00:00,2026-01-31 15:04:05.352000+00:00,2026-01-31 15:04:04.944500+00:00,0.19,0.04,0.42,0.35,1.6967275887256448,-2.2028536797609526,0.49251032354117386,0.867799971710002,0.4274004448359146
6,2026-01-31 15:04:10.596000+00:00,2026-01-31 15:04:11.135000+00:00,2026-01-31 15:04:10.865500+00:00,0.18,0.05,0.45,0.32,1.705839391425155,2.045903294032661,0.9378246398228401,-2.932693246857291,2.7503519879448146
7,2026-01-31 15:04:16.717000+00:00,2026-01-31 15:04:17.228000+00:00,2026-01-31 15:04:16.972500+00:00,0.23,0.04,0.4,0.33,1.7300156425411428,-0.5114212777834799,1.8944941983067023,-0.5228962384301683,0.990623890022352
8,2026-01-31 15:04:23.296000+00:00,2026-01-31 15:04:24.058000+00:00,2026-01-31 15:04:23.677000+00:00,0.18,0.04,0.46,0.32,1.6724311897320747,2.4078660806762135,1.3073627795110296,5.476611930275834,7.15991859546868
9,2026-01-31 15:04:29.778000+00:00,2026-01-31 15:04:30.307000+00:00,2026-01-31 15:04:30.042500+00:00,0.23,0.0,0.37,0.4,1.5471679566839494,-1.8358634176812645,1.9385357547805535,-0.8798315496375853,1.7055849171564403
