task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-02-01 09:48:02.217000+00:00,2026-02-01 09:48:03.250000+00:00,2026-02-01 09:48:02.733500+00:00,0.36,0.16,0.26,0.22,1.9394939064390906,0.5012344957951963,0.6941549541853578,,
1,2026-02-01 09:48:11.377000+00:00,2026-02-01 09:48:11.924000+00:00,2026-02-01 09:48:11.650500+00:00,0.35,0.22,0.19,0.24,1.9600349500167358,-0.06302182711980768,1.9171921828931084,,
2,2026-02-01 09:48:19.237000+00:00,2026-02-01 09:48:20.039000+00:00,2026-02-01 09:48:19.638000+00:00,0.28,0.19,0.22,0.31,1.9738147717243888,-2.2707011034151106,2.4132145689820255,-1.6434229533802989,3.965932214096805
3,2026-02-01 09:48:26.317000+00:00,2026-02-01 09:48:26.840000+00:00,2026-02-01 09:48:26.578500+00:00,0.4,0.18,0.12,0.3,1.862235772792212,0.05391626555405639,1.750965780716778,4.53229664526447,7.935896333915537
4,2026-02-01 09:48:31.997000+00:00,2026-02-01 09:48:32.508000+00:00,2026-02-01 09:48:32.252500+00:00,0.22,0.3,0.27,0.21,1.9845077706244116,1.868189081286732,2.5776360594072063,-0.5103445532364914,1.315482523144441
5,2026-02-01 09:48:37.636000+00:00,2026-02-01 09:48:38.474000+00:00,2026-02-01 09:48:38.055000+00:00,0.38,0.15,0.18,0.29,1.9042091564790482,-0.9584615919094436,1.1148491987539475,-4.640923488928851,5.173929833110704
6,2026-02-01 09:48:43.017000+00:00,2026-02-01 09:48:45.159000+00:00,2026-02-01 09:48:44.088000+00:00,0.28,0.25,0.19,0.28,1.9836671584246381,-1.3911112066870306,0.7373484194979536,2.3940010584185885,1.7652128967013743
7,2026-02-01 09:48:50.718000+00:00,2026-02-01 09:48:51.246000+00:00,2026-02-01 09:48:50.982000+00:00,0.28,0.21,0.19,0.32,1.9683039252610293,-2.135669866778077,2.0884227332276755,-0.3119090453134593,0.6513979409319696
8,2026-02-01 09:48:57.417000+00:00,2026-02-01 09:48:58.218000+00:00,2026-02-01 09:48:57.817500+00:00,0.32,0.16,0.26,0.26,1.9596275363416928,-2.334805686665572,1.1802347661240202,0.545422840203551,0.643726998246337
9,2026-02-01 09:49:05.418000+00:00,2026-02-01 09:49:05.988000+00:00,2026-02-01 09:49:05.703000+00:00,0.29,0.23,0.3,0.18,1.9719687723526733,1.5255539056492797,2.0735864821365215,-2.2236898949772392,4.611013306688385
