t,valid,kappa,MQ,a,kL,kS,mL,g,h,MRS_old,MRS_valley,MRS_gmm,MRS_h
0.0,0,,-1.226308408745094,,0.4352319601821529,-0.00083237291057,-0.7210647703774116,-0.003376388642317633,,0,0,0,0
1.0,0,,-1.226308408745094,,0.4773767892748477,0.0122961646526658,-0.4058931842788064,-0.008324882158605563,,0,0,0,0
2.0,1,0.5341959087060965,-1.226308408745094,0.3994080369268205,0.4983915317575098,0.0233520798997636,-0.4058931842788064,-0.012390065094224205,-0.017936819145592524,0,0,0,0
3.0,1,0.3930871310894581,-1.226308408745094,0.3058474293451674,0.4352319601821529,0.0173339117603682,-0.4058931842788064,-0.009747100583408207,-0.021692115139685123,0,0,0,0
4.0,1,0.2924977653661005,-1.226308408745094,0.2277647383766518,0.4094355314207102,0.0110452438955317,-0.4058931842788064,-0.0073196767648990545,-0.019834869877204377,0,0,0,0
5.0,1,0.1220277852134284,-1.226308408745094,0.1542259506530153,0.4094355314207102,0.0042485418198206,-0.4058931842788064,-0.004928015643600707,-0.015054887995810246,0,0,0,0
6.0,1,0.4773767892748477,-1.226308408745094,0.2257043909852713,0.4094355314207102,-0.004289838573049,-0.4058931842788064,-0.001923483122238747,-0.014405898159579598,0,0,0,0
7.0,1,0.9779493338772876,-1.226308408745094,0.1843570302494117,0.4304502739033723,-0.0020509107414016,-0.4058931842788064,-0.002886095756318422,-0.014274072244034298,0,0,0,0
8.0,1,0.2848116544534163,-1.226308408745094,0.2007656547821733,0.330797249723766,-0.0035459485153044,-0.4058931842788064,-0.0015312624090985118,-0.013448904724189343,0,0,0,0
9.0,1,0.9547212485260876,-1.226308408745094,0.164480221172699,0.4304502739033723,-0.0008059113990345,-0.4058931842788064,-0.0033241930114301776,-0.01391935652981657,0,0,0,0
10.0,1,0.5907504956372716,-1.226308408745094,0.1890636024451412,0.330797249723766,-0.0036332179611833,-0.4058931842788064,-0.0015005535537653202,-0.013052519158097077,0,0,0,0
11.0,1,0.7122297925337866,-1.226308408745094,0.1724715791604161,0.330797249723766,-0.001516068579566,-0.4058931842788064,-0.002245547788850307,-0.013178343298042943,0,0,0,0
12.0,1,1.7301400061949583,-1.226308408745094,0.1981019480163282,0.330797249723766,-0.0042689695511804,-0.4058931842788064,-0.0012768417677164092,-0.013116645053274442,0,0,0,0
13.0,1,0.2849980060659174,-1.226308408745094,0.3057587194340074,0.330797249723766,0.0172003199917748,-0.4058931842788064,-0.008831574126117002,-0.020779451581534634,0,0,0,0
14.0,1,0.3201002258809592,-1.226308408745094,0.3532513968418403,0.3554085908097412,0.022762315809012,-0.4058931842788064,-0.010993436940246,-0.020580060854062936,0,0,0,0
15.0,1,0.9653789118458764,-0.215821132009729,0.361044742065668,0.4443645911465408,0.0235771661695112,-0.4058931842788064,-0.012019961795128856,-0.021051476077424636,0,0,0,0
16.0,1,0.9530734082617428,-0.215821132009729,0.3171586283797752,0.3554085908097412,0.0192863067637014,-0.5959652365478838,-0.009783390975463456,-0.021317683834579496,0,0,0,0
17.0,1,1.7802531554068228,-0.215821132009729,0.3174262521755797,0.3554085908097412,0.019317000151238,-0.5959652365478838,-0.00979419153444552,-0.0213176551447972,0,0,0,0
18.0,1,0.6985551015636831,-0.215821132009729,0.3767527576600273,0.3554085908097412,0.0250709472801416,-0.5959652365478838,-0.011818922277224945,-0.019577948204260866,0,0,0,0
19.0,1,0.5194062742401719,-0.215821132009729,0.3409036442968428,0.3063807408519865,0.0197878611045173,-0.5959652365478838,-0.00955214706620625,-0.019918189280539025,0,0,0,0
20.0,1,0.2703787683111267,-0.215821132009729,0.3326794246438581,0.3063807408519865,0.0172021409611561,-0.5959652365478838,-0.008642269559652756,-0.019461178791619894,0,0,0,0
21.0,1,0.2712672081374003,-0.215821132009729,0.3163315851006331,0.3554085908097412,0.0139406042073311,-0.5959652365478838,-0.00790231559100821,-0.019469745929444057,0,0,0,0
22.0,1,0.188882483239503,-0.215821132009729,0.2973956405091523,0.5351581332796844,0.0106670459768978,-0.5959652365478838,-0.008245261092469211,-0.02043852986399216,0,0,0,0
23.0,1,0.183990172174187,-0.215821132009729,0.2675877106982923,0.7283327548029421,0.009291935017771,-0.5959652365478838,-0.009367890613760265,-0.02205790085736805,0,0,0,0
24.0,1,0.0704163001747491,-0.215821132009729,0.2397209714628667,0.7606939109119556,0.009849369412344,-0.5959652365478838,-0.009833170983424917,-0.022494266183131335,0,0,0,0
25.0,1,1.814251437425608,-0.215821132009729,0.3446157784109771,0.8203412592413071,0.0132802627564058,-0.5959652365478838,-0.011536501988395523,-0.021680927085326013,0,0,0,0
26.0,1,1.508054677090744,-0.215821132009729,0.3854278725270413,0.8203412592413071,0.0288649854884327,-0.5959652365478838,-0.017020540427803446,-0.023986181626228006,0,0,0,0
27.0,1,0.3414942735665728,-0.215821132009729,0.3398434797840633,0.7606939109119556,0.0258644578239307,-0.5959652365478838,-0.015468648878656956,-0.025896004950923618,0,0,0,0
28.0,1,0.003203596214212,-0.215821132009729,0.3185565335136289,0.8203412592413071,0.023695849309908,-0.5959652365478838,-0.01520159619703388,-0.026678749176298262,0,0,0,0
29.0,1,0.0711572243105444,-0.215821132009729,0.3560587253040186,0.8944081923602796,0.0293853743803087,-0.5959652365478838,-0.01781962559550122,-0.027212001813150526,0,0,0,0
30.0,1,2.5099488657081825,-0.5959652365478838,0.3386811123700635,1.062547346971177,0.0241838634816448,-0.7410858443890889,-0.017397606731796196,-0.027891182975577772,0,0,0,0
31.0,1,2.581716160693278,-0.5959652365478838,0.4604668353952878,1.062547346971177,0.0434715880740619,-0.7410858443890889,-0.024184677948415282,-0.02135809365953572,0,0,1,0
32.0,1,0.0414099781343601,-0.5959652365478838,0.6066657691174684,1.062547346971177,0.0613775872195658,-0.7410858443890889,-0.03048553997197581,0.00933970519578503,1,0,1,1
33.0,1,0.1163377015521147,-0.5959652365478838,0.6002631269392225,1.2610624045674816,0.0615056325185526,-0.7410858443890889,-0.03218152146160127,0.005454152456020683,1,0,1,1
34.0,1,0.1260327946716977,-0.5959652365478838,0.5924911467693603,1.3256854844554244,0.0620396079741855,-0.7410858443890889,-0.03290684898907413,0.0021465794830066165,1,0,1,1
35.0,1,0.0268188432136471,-0.5959652365478838,0.5189188968740364,1.3256854844554244,0.0493893396806382,-0.7410858443890889,-0.028455402608955304,-0.013939150209516318,1,0,1,0
36.0,1,1.3108796521550403,-0.5959652365478838,0.5038071020645576,1.3475149873319128,0.0444594877464698,-0.7410858443890889,-0.02690220121302855,-0.01577863822477084,1,0,1,0
37.0,1,0.2545031502976811,-0.5959652365478838,0.546830566164513,1.4023887442685905,0.0503372955832047,-0.7410858443890889,-0.029426867083409875,-0.007925360377606161,1,0,1,0
38.0,1,1.6019871960324197,-0.5959652365478838,0.5063449691969827,1.4023887442685905,0.0350218161293059,-0.7410858443890889,-0.024037571457986854,-0.01236285325816533,1,0,1,0
39.0,1,0.1137783626673476,-0.5959652365478838,0.5430069871812903,1.3475149873319128,0.0280888192711148,-0.7410858443890889,-0.02114159983812208,-0.0006535090996318965,1,0,1,0
40.0,1,1.2112451569799227,-0.5959652365478838,0.3942326005159611,1.4023887442685905,0.0261347953058412,-0.7410858443890889,-0.020910357413456943,-0.027002874702105044,0,0,0,0
