label,event_task,J,dh,kappa_E,kappa_Q
P1,2,-0.24419048713061625,-0.04705533586739749,0.7655426515105981,1.0869087200812344
P1,7,0.14414926923485905,0.012871534330651049,0.6574486067730627,1.1683676671054604
P1,12,-0.04078973332331792,-0.015593281750844607,0.8581746036478161,3.777099118012457
P1,15,-0.014081840910490417,0.008011282569820474,0.835225599646741,1.0057744222147484
P1,18,-0.08639294729607194,-0.02870909728827458,0.28295001233357203,1.7178245000286514
P2,5,0.16025131657843567,0.027078681294252817,0.47861887893028354,7.691063065121461
P2,9,-0.1562603082683433,-0.014530911683581536,0.6470620552015258,0.4765354766292183
P2,10,0.13221553456617313,0.0071611301158404665,0.5956375186684096,6.269004675037627
P2,12,-0.07457844630344085,-0.011775974523069114,0.8192866643104258,1.3717678617159192
P2,13,0.1497963322253485,0.016347059655516593,0.4540559816043469,4.356342031890635
P2,17,-0.1798474435862819,-0.03595974663765904,0.15714981989917387,0.6277294700267223
P2,20,0.09814933142617732,0.012150743363723192,0.9936692365623679,4.434411486014637
P2,21,-0.06287384531810436,-0.01764187237182244,0.4484314920853937,7.147843235868936
P2,27,0.0361768280905983,0.0047782664190564135,0.578422249944316,3.526802576012614
P3,1,0.039976209501873416,0.011183435427664753,0.9707254223705204,
P3,2,-0.028407950218540368,-0.006605065196489251,0.5565406844140302,6.591648049389419
P3,5,0.05090879267533799,0.01609314669822605,1.1793500680044025,15.399950700888446
P3,6,-0.13017981346086893,-0.030116024460040268,0.5861029222484536,5.5884568891282305
P3,11,0.17125181267610784,0.024352531167700628,0.8342802322693179,0.9747454094510554
P3,13,-0.1306785017107271,-0.011210315249234812,0.5670029440933675,5.365881513246262
P3,16,0.07904037215058007,0.014770543662044461,0.6130165687000788,9.713981292805707
P3,17,-0.11849501825596814,-0.01274216233127914,0.9286493574271568,9.099886677645005
P3,19,0.057545216813207456,0.02477068299161594,0.5677582759014721,6.653303074915778
P3,21,-0.020089223290534586,-0.014425191129668835,0.6868858747077103,0.0361038638595579
P3,26,0.021104029010678815,0.005235368511584707,0.7041678852830765,2.2156602381588284
P4,3,-0.0802217177760503,-0.013914991046860874,0.4814810905366773,0.0361216535398043
P4,5,0.038587918671341315,0.01371323994129406,0.6113519489872858,2.539071512957092
P4,7,0.023196493164149623,-0.020128678131658154,0.6050841802802316,18.706270853304908
P4,11,0.10523934302317589,0.043955293699845056,1.3792578558018762,12.437924636861288
P4,12,-0.0738563430614852,-0.034753647045301615,0.8403472517254822,6.12743684459465
P4,16,0.036921540996427415,0.006275193976125093,0.7419790047583412,7.391613821623309
P4,17,0.032868778736972915,-0.0029155836731335465,0.6727801459285367,8.477949133525406
P4,19,0.14686799761165875,0.021166819758812582,1.0041317552948017,0.2060474016549667
P4,20,0.05500603110407348,-0.009232699579974399,0.8036760104891963,4.094806548592032
P4,22,0.2551147862818764,0.058658567027492454,1.2174167454200615,6.007707606007294
P4,23,-0.2193151319961446,-0.058759106244474855,0.5924631436491808,3.747379898300811
P5,12,0.3015852168278397,0.055336672847464574,0.54174697190885,2.3874158665463483
P5,15,-0.020843538690795138,-0.015619705503376394,0.4547788644428108,1.1229061594577792
P5,17,0.1768436935173115,0.03271089978832106,0.9461958276488824,2.9903874937645005
P5,22,-0.2316497587375081,-0.04572413529171869,0.6289862646465875,1.8347409205755023
P5,26,-0.031090661541008036,0.004298543584508734,0.7609168709518278,2.45653854327008
P5,27,0.000416005668745556,-0.01230386268530078,0.6009807339774287,3.792433249092748
P6,9,0.10514272387175311,0.012443861899339726,0.892466704725552,1.3227993935410511
P6,10,-0.04654854773658895,-0.008506159512747146,0.7530410246851964,10.054393711729409
P6,25,0.10622787585358806,0.010670870557146992,1.12050000638013,4.473318817940719
P6,26,-0.05483142140793157,-0.021858198948101065,0.27413427882534896,0.0230135320743273
P7,3,0.20250803028833675,0.021487088587269155,0.744243038468763,3.334223000768703
P7,5,-0.005349870552593561,-0.0149644490658615,0.3567993655853125,1.577752427011207
P7,8,0.08052776305843118,0.008779790732844987,0.7543642611139739,4.155773120095213
P7,11,-0.08806535098637913,-0.0048111408943315795,1.0299063110655564,0.2484269111167659
P7,13,0.07096560305211386,0.02828843606410416,1.0966266210500883,6.297071010711843
P7,14,-0.10455940674559605,-0.023363805969578717,0.5477163610174606,1.8473354574983307
