t,valid,kappa,mq,a,kL,kS,mqL,g,h
0,True,,0.8485408881632094,,0.31601233984186705,0.02439271704076106,0.41585351092166073,-0.011182833080399765,
1,True,,0.8485408881632094,,0.3241705819012504,0.030950403380192715,0.2971031767305031,-0.013566426457460238,
2,True,0.251339014064929,0.8485408881632094,0.4909215626472965,0.31601233984186705,0.024956672608506286,0.2971031767305031,-0.011389472379849733,-0.0029505080044061258
3,True,0.0773268695773259,0.8485408881632094,0.5061794422152583,0.360199302988101,0.026145937039057893,0.2971031767305031,-0.012175432356435334,-0.0005368891991338193
4,True,0.150616802797072,0.8485408881632094,0.4247317407291001,0.360199302988101,0.022227833183900047,0.2971031767305031,-0.01079670829950221,-0.013314086140687388
5,True,0.2724094809343258,0.8485408881632094,0.40947488274213617,0.4008702805798961,0.020540388103676234,0.2971031767305031,-0.010541155592869663,-0.01495592031759101
6,True,0.3078540977824837,0.8485408881632094,0.4765145622118451,0.40892878405273475,0.020860725113376728,0.2971031767305031,-0.010720895029266259,-0.0050628594768566265
7,True,0.3962280240749516,0.8485408881632094,0.4754423834480158,0.40892878405273475,0.01715471871827111,0.2971031767305031,-0.00941680499976032,-0.003956594194299008
8,True,0.1428943771548915,0.8485408881632094,0.5411443252603783,0.4355886936077167,0.02105086588995721,0.2971031767305031,-0.01100951642664014,0.008991476266780048
9,True,0.1242016750348693,0.8485408881632094,0.437376342746337,0.4355886936077167,0.01720368027014551,0.2971031767305031,-0.00965574747063377,-0.01042949172556664
10,True,0.263914103583275,0.8485408881632094,0.3924059847232365,0.4355886936077167,0.012373871705032779,0.2971031767305031,-0.007956207717409361,-0.014235560319703282
11,True,0.0562932294823876,0.8485408881632094,0.40037899250526043,0.4659829984681359,0.01478030933355508,0.2971031767305031,-0.009055768514427461,-0.01449741482736358
12,True,0.4731336407414673,0.8485408881632094,0.46563003280936743,0.47671269462817945,0.016804772069912793,0.2971031767305031,-0.009857379758056704,-0.006149870013996958
13,True,0.1166143505414466,0.8485408881632094,0.3663234083161601,0.46956205235484805,0.013440618208409817,0.2971031767305031,-0.008614115318953345,-0.01724119593042203
14,True,0.4588323561948045,0.8485408881632094,0.3391493941334496,0.525290191635716,0.01109743265671307,0.2971031767305031,-0.008253037920352632,-0.018720062276764433
15,True,1.0972201341221828,-0.01683386631988797,0.32898242553419343,0.5734448387730899,0.010646882919986214,0.2971031767305031,-0.008494967736139893,-0.019500598793997265
16,True,0.6530584148114396,-0.01683386631988797,0.41346171643722857,0.5734448387730899,0.016276465713567095,0.6110402197808942,-0.010454280835601163,-0.01439461408481493
17,True,0.1072769121465354,-0.01683386631988797,0.3439559068200749,0.525290191635716,0.012123404935580622,0.6110402197808942,-0.008592407087743259,-0.018777017873986994
18,True,0.3241705819012504,-0.01683386631988797,0.2951970507236286,0.5734448387730899,0.00883106488237752,0.6110402197808942,-0.007834352008049092,-0.020084175592892863
19,True,0.1794349054890273,-0.01683386631988797,0.25091733985247344,0.5734448387730899,0.004629520751036621,0.6110402197808942,-0.00635588941892701,-0.019082581927763274
20,True,0.11585485520386,-0.01683386631988797,0.2850303499901253,0.5734448387730899,-0.0020635272391348533,0.6110402197808942,-0.004000702670594749,-0.016469963998678432
21,True,0.23001196248886,-0.01683386631988797,0.3559967239167183,0.5734448387730899,-0.007011933006630202,0.6110402197808942,-0.0022594302777940215,-0.011656165726224795
22,True,1.0216893999312897,-0.01683386631988797,0.45690239708901836,0.5734448387730899,-0.013931635807362522,0.6110402197808942,0.0001755130189841126,0.002410356568447604
23,True,0.4802917485148916,-0.01683386631988797,0.4723164918601903,0.525290191635716,-0.015100513836543183,0.6110402197808942,0.000987296034650939,0.005877886172859996
24,True,0.5702886347565403,-0.01683386631988797,0.5343671628240726,0.5104501007457023,-0.02007370613848449,0.6110402197808942,0.0028607061019857586,0.021125574991267944
25,True,0.4123450310206289,-0.01683386631988797,0.5601252489951741,0.4314782988777466,-0.021729883554613274,0.6110402197808942,0.00410024950978968,0.02926865559003418
26,True,1.1516654046787114,-0.01683386631988797,0.6169452155694934,0.42806205190985236,-0.02519239639565794,0.6110402197808942,0.005347068446388842,0.04880696746381804
27,True,0.4055125370848406,-0.01683386631988797,0.5447701045210289,0.42806205190985236,-0.019326745880378804,0.6110402197808942,0.0032830308981417404,0.024236159981442483
28,True,1.0723108270009976,-0.01683386631988797,0.40624275348184746,0.5136063047622519,-0.010801366572038843,0.6110402197808942,-0.00042834418611135814,-0.005216791611991494
29,True,1.014693114024264,-0.01683386631988797,0.3825962167158933,0.4782956591734455,-0.008730844182940628,0.6110402197808942,-0.0008632747467460453,-0.008095110765571189
30,True,1.730540433635038,0.6110402197808942,0.31003030036056195,0.4782956591734455,-0.0023225396389476424,0.9524742793856513,-0.0030947119965069308,-0.014898453392012226
31,True,0.0061940886354457,0.6110402197808942,0.34287836076276973,0.4782956591734455,0.009471453681255173,1.1864124753468523,-0.007228710355225984,-0.017478206352426452
32,True,0.8580230411771288,0.6110402197808942,0.593746714685572,0.5412903972008332,0.021364352829257055,1.1864124753468523,-0.011937536892123702,0.023527479616490626
33,True,0.2942342166625121,0.6110402197808942,0.6749249784358211,0.5412903972008332,0.032661006976262764,1.1864124753468523,-0.01591266603905201,0.05091391811259813
34,True,0.5766010427896395,0.6110402197808942,0.4975421108670586,0.5412903972008332,0.025884622610136652,1.1864124753468523,-0.013528154425786665,-0.00373346070442699
35,True,0.7869933169944691,0.6110402197808942,0.4423579472744473,0.5919374175999759,0.02401186167228218,1.1864124753468523,-0.013290356189729137,-0.013333470798278992
36,True,0.1605095564849482,0.6110402197808942,0.38358388643507185,0.4782956591734455,0.02046219865395245,1.1864124753468523,-0.011096194489809768,-0.018235982855751297
37,True,1.2342129870045075,0.6110402197808942,0.34447595143824267,0.5805936564214996,0.015789550371708764,1.1864124753468523,-0.010302704920441589,-0.020455674028501986
38,True,0.3625934036458301,0.6110402197808942,0.4075014717536041,0.5805936564214996,0.018357367496629824,1.1864124753468523,-0.011206282613838613,-0.015850362234520677
39,True,0.2454203581139146,0.6110402197808942,0.36436460262431214,0.5805936564214996,0.011974965686576985,1.1864124753468523,-0.008960407761657376,-0.017740273412362742
40,True,1.226050658856913,0.6110402197808942,0.4338742343379036,0.6595262106894428,0.009657117891858703,1.1864124753468523,-0.008801222799097204,-0.01007371917062376
41,True,1.4551383508360498,0.6110402197808942,0.4412272817305578,0.6480912378445871,0.012064949744802449,1.1864124753468523,-0.009553406551896739,-0.009764544635353763
42,True,0.2707868296737068,0.6110402197808942,0.45979047181646193,0.6106717392095371,0.015922010913814753,1.1864124753468523,-0.010599456263131425,-0.00788618275726264
43,True,0.7961887926614357,0.6110402197808942,0.4375027407195183,0.6106717392095371,0.009764360186542868,1.1864124753468523,-0.008432668065134699,-0.00918818242895475
44,True,0.7705952994640399,0.6110402197808942,0.45347273070636007,0.6106717392095371,0.01153678594526795,1.1864124753468523,-0.009056359045011435,-0.007378340018480561
45,True,1.052102213068283,1.2939083389904085,0.4561238333961376,0.5431741577864497,0.0077966500171438875,1.1864124753468523,-0.007178924624546574,-0.0050715608392680675
46,True,0.0074744407348331,1.2939083389904085,0.4909916783731778,0.4782956591734455,0.008325918277915319,1.0789166117032962,-0.0068330281734366475,0.0016200350421712306
47,True,0.6797847266782844,1.2939083389904085,0.4694805583612353,0.5431741577864497,0.004437535403065455,1.0789166117032962,-0.0060043159460145,-0.0016213687695326717
48,True,0.3464895382451096,1.2939083389904085,0.4775358016060454,0.4782956591734455,-6.400145292566666e-05,1.0789166117032962,-0.0038807368110163063,0.0019668904747296226
49,True,0.1165631256941848,1.2939083389904085,0.47393974962411056,0.4782956591734455,-0.0038977925894306447,1.0789166117032962,-0.0025316811798854026,0.0026533870489610922
50,True,0.4506115667348642,1.2939083389904085,0.4514669675002867,0.5431741577864497,-0.004725765404975706,1.0789166117032962,-0.0027798829723121943,-0.0014218471925106849
51,True,0.0461171851082029,1.2939083389904085,0.4573722153137716,0.5431741577864497,-0.008187781310207603,1.0789166117032962,-0.0015616496659783508,0.0007504271319316094
52,True,0.0785367448546885,1.2939083389904085,0.4249881454774302,0.6106717392095371,-0.010760705247495346,1.0789166117032962,-0.001217609661296409,-0.003701189834866246
53,True,0.0025584423614473,1.2939083389904085,0.3958378114567704,0.6106717392095371,-0.019002236066550247,1.0789166117032962,0.0016824657900545296,-0.00424337795184123
54,True,0.3875450570486656,1.2939083389904085,0.3569779131511162,0.6106717392095371,-0.028885311352549344,1.0789166117032962,0.005160176988380901,-0.00416720466342646
