task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-03 10:00:43.902000+00:00,2026-01-03 10:00:46.848000+00:00,2026-01-03 10:00:45.375000+00:00,0.1,0.11,0.27,0.52,1.6830776232209876,-2.896491576641421,2.597720531372677,,
1,2026-01-03 10:00:50.550000+00:00,2026-01-03 10:00:51.042000+00:00,2026-01-03 10:00:50.796000+00:00,0.15,0.16,0.3,0.39,1.884448556395553,0.06875658248788204,2.2973705107829696,,
2,2026-01-03 10:00:56.623000+00:00,2026-01-03 10:00:57.143000+00:00,2026-01-03 10:00:56.883000+00:00,0.11,0.09,0.4,0.4,1.7204829856873443,2.5744869827137697,2.5156230602803467,-0.4595177589034152,1.1559734709057758
3,2026-01-03 10:01:02.421000+00:00,2026-01-03 10:01:03.209000+00:00,2026-01-03 10:01:02.815000+00:00,0.14,0.12,0.29,0.45,1.8004826186664034,-1.2455668707405363,0.8479471091917626,-0.04259894650060707,0.036121653539804316
4,2026-01-03 10:01:08.924000+00:00,2026-01-03 10:01:09.468000+00:00,2026-01-03 10:01:09.196000+00:00,0.17,0.14,0.23,0.46,1.8347000679960583,-0.5808996950640233,2.741954645957419,-1.7984642780487676,4.931307482784273
5,2026-01-03 10:01:15.182000+00:00,2026-01-03 10:01:15.723000+00:00,2026-01-03 10:01:15.452500+00:00,0.1,0.15,0.32,0.43,1.7923359464245596,2.310290106060906,1.1403753476099214,2.226522625448416,2.539071512957092
6,2026-01-03 10:01:21.182000+00:00,2026-01-03 10:01:21.953000+00:00,2026-01-03 10:01:21.567500+00:00,0.18,0.09,0.24,0.49,1.7563776155977813,-1.1380085941938278,2.44161155272125,-0.056303194200076234,0.13747052941401422
7,2026-01-03 10:01:28.043000+00:00,2026-01-03 10:01:28.562000+00:00,2026-01-03 10:01:28.302500+00:00,0.07,0.13,0.35,0.45,1.6997012325959064,2.6654793264157837,3.5197996449396256,-5.314583993494827,18.706270853304908
8,2026-01-03 10:01:35.213000+00:00,2026-01-03 10:01:35.732000+00:00,2026-01-03 10:01:35.472500+00:00,0.16,0.1,0.3,0.44,1.7974462894047196,-1.0276301005303874,1.309574838795271,5.069773266803388,6.6392475086026215
9,2026-01-03 10:01:42.505000+00:00,2026-01-03 10:01:43.192000+00:00,2026-01-03 10:01:42.848500+00:00,0.13,0.08,0.31,0.48,1.7062161698528073,-2.674329207103815,1.931831015990374,-4.236774986806841,8.184733327285663
10,2026-01-03 10:01:50.050000+00:00,2026-01-03 10:01:50.582000+00:00,2026-01-03 10:01:50.316000+00:00,0.17,0.09,0.3,0.44,1.7894771657511863,-1.0030318108361636,1.559009962097388,3.31799650284108,5.1727896021335384
11,2026-01-03 10:01:55.825000+00:00,2026-01-03 10:01:56.295000+00:00,2026-01-03 10:01:56.060000+00:00,0.08,0.13,0.35,0.44,1.7254000582876183,2.640302682878903,2.8850607846845486,-4.311148209732172,12.437924636861288
12,2026-01-03 10:02:04.654000+00:00,2026-01-03 10:02:05.372000+00:00,2026-01-03 10:02:05.013000+00:00,0.1,0.11,0.36,0.43,1.7366590571970024,2.742526999344724,2.234598453453138,2.74207512993034,6.12743684459465
13,2026-01-03 10:02:12.443000+00:00,2026-01-03 10:02:12.964000+00:00,2026-01-03 10:02:12.703500+00:00,0.13,0.19,0.34,0.34,1.8962180668127382,0.7197168257977454,3.0978407752733434,-2.1250344900127978,6.5830184920238395
