task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2025-12-25 11:30:41.987000+00:00,2025-12-25 11:30:42.893000+00:00,2025-12-25 11:30:42.440000+00:00,0.31,0.2,0.22,0.27,1.9787751328931489,-1.6753903769157652,1.8433136878500354,,
1,2025-12-25 11:30:48.222000+00:00,2025-12-25 11:30:48.754000+00:00,2025-12-25 11:30:48.488000+00:00,0.34,0.23,0.17,0.26,1.9567165641276043,-0.5854947752331496,1.8657279315250501,,
2,2025-12-25 11:30:52.996000+00:00,2025-12-25 11:30:53.995000+00:00,2025-12-25 11:30:53.495500+00:00,0.24,0.16,0.38,0.22,1.9281777783934497,2.821413518808272,4.672311572564576,-3.9661726148207803,18.531194207015837
3,2025-12-25 11:30:56.228000+00:00,2025-12-25 11:30:56.716000+00:00,2025-12-25 11:30:56.472000+00:00,0.32,0.18,0.31,0.19,1.950362605741298,2.1581734493633467,0.928658018853918,2.213036943693239,2.0551545037806926
4,2025-12-25 11:31:01.347000+00:00,2025-12-25 11:31:02.169000+00:00,2025-12-25 11:31:01.758000+00:00,0.21,0.23,0.34,0.22,1.970237958972983,2.782112443029124,3.716388554077483,1.2871790631107038,4.783657537192798
5,2025-12-25 11:31:04.777000+00:00,2025-12-25 11:31:05.295000+00:00,2025-12-25 11:31:05.036000+00:00,0.32,0.2,0.21,0.27,1.9732642864297891,-1.485300258693028,1.809146723209838,1.3918336117916557,2.5180312180261875
6,2025-12-25 11:31:09.048000+00:00,2025-12-25 11:31:09.570000+00:00,2025-12-25 11:31:09.309000+00:00,0.32,0.21,0.24,0.23,1.9806592809251466,-1.0498630966149258,1.0033407264521466,-1.580335443379332,1.585614911798294
7,2025-12-25 11:31:12.741000+00:00,2025-12-25 11:31:13.251000+00:00,2025-12-25 11:31:12.996000+00:00,0.37,0.16,0.31,0.16,1.9005575882728916,1.3325964688294358,2.232223925882153,1.9470224033662595,4.346189993022737
8,2025-12-25 11:31:16.143000+00:00,2025-12-25 11:31:16.641000+00:00,2025-12-25 11:31:16.392000+00:00,0.32,0.2,0.2,0.28,1.9690255736438986,-1.5150152185183638,1.9453767506281365,-5.230071252792161,10.174459019310442
9,2025-12-25 11:31:19.414000+00:00,2025-12-25 11:31:20.129000+00:00,2025-12-25 11:31:19.771500+00:00,0.38,0.15,0.24,0.23,1.9227998952593148,-0.5707994839929315,1.0005446279858674,3.791827421873232,3.7938925572047637
10,2025-12-25 11:31:23.198000+00:00,2025-12-25 11:31:23.672000+00:00,2025-12-25 11:31:23.435000+00:00,0.3,0.22,0.25,0.23,1.9893307576552541,-1.5262739392041758,0.7685664509015855,-1.8996901897366767,1.460038146938477
11,2025-12-25 11:31:29.533000+00:00,2025-12-25 11:31:30.057000+00:00,2025-12-25 11:31:29.795000+00:00,0.31,0.27,0.18,0.24,1.9732582075381815,-0.1397182763909054,1.544964919753269,2.3420301180245144,3.6183543733534833
12,2025-12-25 11:31:33.853000+00:00,2025-12-25 11:31:34.375000+00:00,2025-12-25 11:31:34.114000+00:00,0.36,0.14,0.26,0.24,1.9271481732782705,-1.7912005759364646,0.7858413542313614,-3.0380379623588296,2.3874158665463483
13,2025-12-25 11:31:37.070000+00:00,2025-12-25 11:31:37.795000+00:00,2025-12-25 11:31:37.432500+00:00,0.25,0.28,0.24,0.23,1.9960225140887555,2.5593987295741796,0.46915033375710596,-0.28110370212338276,0.13187989567154312
14,2025-12-25 11:31:40.771000+00:00,2025-12-25 11:31:41.289000+00:00,2025-12-25 11:31:41.030000+00:00,0.27,0.2,0.27,0.26,1.9897169929123797,-2.4567230886572706,2.1675618679827187,3.1996494906170785,6.935438226771909
15,2025-12-25 11:31:43.683000+00:00,2025-12-25 11:31:44.178000+00:00,2025-12-25 11:31:43.930500+00:00,0.33,0.22,0.24,0.21,1.9753535153298056,-0.19912521464235836,1.1336367282010906,0.990534385066776,1.1229061594577792
16,2025-12-25 11:31:46.974000+00:00,2025-12-25 11:31:47.447000+00:00,2025-12-25 11:31:47.210500+00:00,0.31,0.23,0.27,0.19,1.9767102305234507,0.8076028286945246,0.85248466123834,-1.2508698306780293,1.0663473438588196
17,2025-12-25 11:31:50.929000+00:00,2025-12-25 11:31:51.461000+00:00,2025-12-25 11:31:51.195000+00:00,0.35,0.24,0.28,0.13,1.9210995921371068,1.048667747250409,3.9056177540479515,-0.7656631247809986,2.9903874937645005
18,2025-12-25 11:31:54.632000+00:00,2025-12-25 11:31:55.375000+00:00,2025-12-25 11:31:55.003500+00:00,0.3,0.21,0.26,0.23,1.9868687756989374,-1.8648863592540146,0.8275605597424944,-3.154619025060308,2.6106382861532302
19,2025-12-25 11:31:57.766000+00:00,2025-12-25 11:31:58.279000+00:00,2025-12-25 11:31:58.022500+00:00,0.32,0.17,0.29,0.22,1.9590980620752998,-2.662315464266862,0.7904316792055356,2.116125001491576,1.6726522383378029
20,2025-12-25 11:32:02.498000+00:00,2025-12-25 11:32:03.026000+00:00,2025-12-25 11:32:02.762000+00:00,0.3,0.12,0.31,0.27,1.9219730292022492,-2.8853102426397093,3.2396973867435745,0.5744343266399998,1.8609933868714124
21,2025-12-25 11:32:05.462000+00:00,2025-12-25 11:32:05.979000+00:00,2025-12-25 11:32:05.720500+00:00,0.24,0.2,0.29,0.27,1.9864454564531524,-2.7650924596154915,3.131708371684812,0.34321256139706513,1.0748416517945765
22,2025-12-25 11:32:08.825000+00:00,2025-12-25 11:32:09.321000+00:00,2025-12-25 11:32:09.073000+00:00,0.32,0.21,0.23,0.24,1.9806592809251464,-1.16018316459878,1.2357724859039796,1.484691511992494,1.8347409205755023
23,2025-12-25 11:32:14.284000+00:00,2025-12-25 11:32:15.029000+00:00,2025-12-25 11:32:14.656500+00:00,0.31,0.22,0.28,0.19,1.9738147717243888,1.095444174521995,0.6797471264756707,0.650718044104063,0.44232372062560554
24,2025-12-25 11:32:20.134000+00:00,2025-12-25 11:32:20.656000+00:00,2025-12-25 11:32:20.395000+00:00,0.39,0.19,0.26,0.16,1.913328770148171,0.693653132512376,2.8579488613427833,-2.6574183811303937,7.594765836462991
25,2025-12-25 11:32:25.032000+00:00,2025-12-25 11:32:25.559000+00:00,2025-12-25 11:32:25.295500+00:00,0.36,0.2,0.24,0.2,1.9535209511278324,0.057901083939124805,1.6090763682298141,-0.2339610065636324,0.37646112674880133
26,2025-12-25 11:32:29.492000+00:00,2025-12-25 11:32:30.242000+00:00,2025-12-25 11:32:29.867000+00:00,0.3,0.2,0.23,0.27,1.9831645166375829,-1.862521125562744,1.9121939763078042,-1.2846701609286177,2.45653854327008
27,2025-12-25 11:32:34.413000+00:00,2025-12-25 11:32:34.904000+00:00,2025-12-25 11:32:34.658500+00:00,0.35,0.13,0.22,0.3,1.9144078357036052,-2.037684817144071,2.172992258826729,1.7452585179205418,3.7924332490927477
28,2025-12-25 11:32:39.736000+00:00,2025-12-25 11:32:40.214000+00:00,2025-12-25 11:32:39.975000+00:00,0.37,0.31,0.2,0.12,1.8859764692090317,0.8825112178924926,6.575303151279603,3.0953597266178905,20.352928564774587
29,2025-12-25 11:32:44.756000+00:00,2025-12-25 11:32:45.525000+00:00,2025-12-25 11:32:45.140500+00:00,0.41,0.15,0.27,0.17,1.8825379699442768,0.819940337269139,2.484998043711012,-2.9827669156599175,7.412169950260824
