label,task_idx,J,phi,dphi,J_tilde,g_t,E,Q,dE,dQ,phase,distance,r_local,lag_local,phi_z,dphi_z,J_z,distance_z,phase_z,r_local_z,J_tilde_z,g_t_z
P1,2,-0.2441904871306162,-0.519348773439423,-2.370825673937298,-0.6807594157122263,0.7092894293666226,-6.210511495014797,-0.0001457985141157,1.1815163750316984,0.0005585178754580999,0.0004727127322644833,6.321653545129743,0.8013620280492286,0.0,-1.0187223438271205,-1.8184860653297605,-1.5678044505609448,-1.7166783232487886,-1.2233967659996887,-0.12623457134005883,-1.6904621712336674,1.0638107189835688
P1,7,0.144149269234859,0.04327769719847618,0.723447310192633,0.05531985005028276,0.7123999620058367,-9.023433909991104,-0.0008326698446346,-2.6693602576582904,7.837319463000012e-06,3.1415897175606675,9.409190143959137,0.8984271054160303,-1.0,0.0066009087199859805,0.8579652041239084,1.5396464330287807,0.5617775248574909,0.8166314232583699,1.4147585298295666,0.3268588101142981,1.0840180073910168
P1,12,-0.0407897333233179,0.9114616395910035,0.8623599966038205,0.35613969908377907,0.3041594872359533,-9.175428827950348,-0.0001009149331113,-1.8323317449050105,0.0005195635131205001,3.141309100406457,9.356601211452976,0.7035163624367999,-1.0,1.5887681725776792,0.9781204191922988,0.05978541573763108,0.5229693821913413,0.8164491737897578,-1.6796201944547264,1.1512947388081456,-1.5680785850925998
P1,15,-0.0140818409104904,-0.5561181988981052,-0.2879391792239375,-0.2391378420928518,0.5289384673467101,-7.923152105794483,-0.0047720281371163,1.1265312951020858,-0.0041426972870337005,-0.003677375525211366,7.998697814726234,0.8346100934263655,1.0,-1.0857304724401238,-0.016853102919683744,0.27349895527787105,-0.4790990423929868,-1.2260920801252515,0.401607581196339,-0.48014079999467674,-0.10782267208027545
P1,18,-0.0863929472960719,0.3190055112187445,-0.2693181171164399,0.18871640512494772,0.47289137024469735,-9.909459887432227,-0.0005978056268842,-2.2145587553425594,0.0007674923086751001,3.14124608690869,10.153483054586355,0.8086512780055557,-1.0,0.5090837349695788,-0.0007464550667627839,-0.3051263534833382,1.1110304585929445,0.8164082490768129,-0.01051134523110994,0.6924494223059008,-0.47192746920170997
P2,5,0.1602513165784356,0.48653054516623745,0.6118037558318611,0.919936446988407,0.5528908833806668,-8.570136017579753,-0.0070119284332139,1.434713753135643,-0.0020222698470909,-0.0014095275126559123,8.682816626294603,0.9377875196901511,-1.0,0.3041456998267981,0.6261048926814377,1.1861541208118371,1.0394360885039915,-0.35531009197403807,1.0201731313987024,1.9621654120707885,0.5337675225606282
P2,9,-0.1562603082683433,-0.24850232998141014,-0.8661584852159341,-0.009429523368130808,0.6271532543890622,-8.400464184465125,-0.0063749459065658,-0.2886955527405419,-0.0050213346223616,-3.124201224070055,8.39888118780767,0.8241431597341053,0.0,-1.051107213301418,-2.0297506824471916,-1.3368461702041077,0.7830170548579828,-1.9404850446067892,0.8679032215111995,-0.6561475540653614,1.6406267416485336
P2,10,0.1322155345661731,0.22642492135047096,0.4749272513318811,0.2317145581069216,0.560039946286481,-7.432594995403991,-0.0006387475927984,0.9678691890611342,0.0057361983137674,0.005926556211210213,7.493975818033062,0.602629740723106,0.0,-0.17543680092398842,0.3801417567608123,0.9626732732757005,-0.03419322961789166,-0.35158618807666664,0.5711016172369244,0.023230317916434907,0.6403222430427582
P2,12,-0.0745784463034408,0.31734813528842765,0.12606205383613037,-0.11696803048769563,0.5234626008734546,-7.500163953114042,-0.002449799627623,0.42496636645685637,-0.0024053757433217297,-0.005660095118992615,7.509884428765983,-0.9537379014758975,0.0,-0.007792665910784287,-0.24675895423473812,-0.6857378211570961,-0.01982633476135545,-0.35746774255043257,-1.5142456953893042,-0.9591169724980819,0.09514746030394691
P2,13,0.1497963322253485,-0.17944633797223483,-0.4967944732606625,0.4025461514858733,0.47551511970360677,-6.263274173202823,-0.0104839581880435,1.2368897799112188,-0.008034158560420501,-0.0064953609483262235,6.375517319054534,-0.7103098258626499,0.0,-0.9237818411939537,-1.3660141923269666,1.1028145955158064,-1.0442610429543993,-0.3578917357591085,-1.188081060804237,0.5045160441392395,-0.6194959162035195
P2,17,-0.1798474435862819,1.7051010681896022,0.6221549092111411,-0.11609796653224799,0.4847878476136942,-9.126159097172115,-0.0009297448206656,-2.8702840734755606,0.0031221618918875,3.140504900398619,9.566936506869114,0.7401494896753693,1.0,2.5509448662557213,0.6447056171437099,-1.5248656443709732,1.8378752217528465,1.239571840090452,0.7553617053645902,-0.9566657317505406,-0.4812885813984714
P2,20,0.0981493314261773,0.1461475817498939,0.7827708534107998,0.6355645958464843,0.5201718132168717,-7.299002609657456,-0.0030484452006956,-0.48341703931850866,0.0015797126975663,3.138324860057287,7.312056415217273,-0.9103731336842302,-1.0,-0.3234520830023731,0.9333278424008282,0.6911222979280335,-0.1984826811920394,1.2384652195788701,-1.4561420703041386,1.1610014693417576,0.04609921950191587
P2,21,-0.0628738453181043,0.40688881919624675,0.26074123744635286,0.24184161799446877,0.5405813242248116,-6.046333831007509,-0.0006145133804067,1.252668778649947,0.0024339318202888996,0.0019429946677752506,6.1736382498294065,0.4245072654094845,0.0,0.15730236155338018,-0.004744340660172116,-0.5924372616388633,-1.2265758540956833,-0.353608302452046,0.332438710644513,0.051761395078889695,0.35029709400366843
P2,27,0.0361768280905983,0.033678578752747615,0.854925720784083,-0.17788690244548047,0.3691071653017269,-6.228590369952456,-0.0003882898463586,-0.7443377346915474,0.0026569588373351,3.138023107899971,6.272838450239112,0.6327733321556941,-1.0,-0.5308223233033813,1.0629880606822804,0.19712260983966207,-1.1369892224934515,1.2383120457497583,0.6114904403417503,-1.1307443802331256,-2.205475783459459
P3,1,0.0399762095018734,0.376617248595955,0.2047598423261624,0.30004261112559305,0.707494440074175,-6.803946444092247,-0.0059392910103785,0.588101092253825,-0.0038104360900582004,-0.006479128878562239,6.823727757665795,-0.5504667567091824,0.0,0.2793943787988275,0.218655464220962,0.44319936780610497,-0.8124131236461839,-0.4724376029148668,-0.688845248257439,0.6440902054216376,1.7017771417615684
P3,2,-0.0284079502185403,-0.15053723387257018,-0.5271544824685253,-0.11007832355906857,0.5034290646243432,-7.834750498975875,-0.0019244981442447,-1.0308040548836281,0.004014792866133801,3.137697856565696,7.900886862053031,-0.1479813845011671,-1.0,-0.49163998255770436,-0.6528583903104487,-0.30136068419486545,0.27522272919379026,0.8295186805095937,-0.13240571561646614,-0.31492081525101845,0.1802472603373413
P3,5,0.0509087926753379,0.5952745004140706,0.6617557638670624,0.4294118663357575,0.6308156662428956,-9.3055884482937,-0.0010092295614366,-0.2435054865903279,0.0036081902558965998,3.126776042001955,9.307860098161594,-0.8039964090278329,-1.0,0.5992100307915453,0.7628151610529191,0.5622322656207396,1.695880577551749,0.8249961217721281,-1.0393522007782063,0.9466022963446596,1.1300532743583798
P3,6,-0.1301798134608689,-0.0751503017482622,-0.6704248021623328,-0.454920970007731,0.23228855364821288,-6.610962235785198,-0.0006553903529543,2.694626212508501,0.0003538392084823001,0.00013131290893186342,7.1382953295794715,-0.9956096307129773,-1.0,-0.38137645071234155,-0.8234549537693252,-1.4094427911878944,-0.49478598020875997,-0.4697003186394324,-1.3042591486689938,-1.1212875972746428,-1.8414008933752348
P3,11,0.1712518126761078,-0.2450867650124917,0.1364434307573195,0.1955293242643872,0.46482271968191646,-6.603724530073302,-0.0039221065598929,0.9023523610662716,-0.0036703742198599,-0.004067539617822074,6.661701676468922,-0.9417201148137758,0.0,-0.6299313938678257,0.13730892247809065,1.8725153135672854,-0.9760151154848266,-0.47143900016266965,-1.229756423571938,0.3997003549408651,-0.1076051365378673
P3,13,-0.1306785017107271,-0.9860771244431844,-1.8988298673113817,-0.8406342533742998,0.5377618679306853,-7.153698174061557,-0.0013459690173715,-2.2552400552155722,0.0046327504020623,3.1395384403919864,7.500877759473922,0.40753733487954685,0.0,-1.71372949775496,-2.286156252250219,-1.4148724601458043,-0.12867697295362537,0.8302808385207052,0.6356037523792017,-2.0232247048080336,0.43623574455965564
