task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-31 13:37:40.675000+00:00,2026-01-31 13:37:41.652000+00:00,2026-01-31 13:37:41.163500+00:00,0.21,0.02,0.52,0.25,1.5762768301186696,1.995520710751472,3.1456845846263706,,
1,2026-01-31 13:37:46.490000+00:00,2026-01-31 13:37:47.024000+00:00,2026-01-31 13:37:46.757000+00:00,0.19,0.06,0.43,0.32,1.7483583676575947,3.105897148665563,0.4475195968852109,,
2,2026-01-31 13:37:53.370000+00:00,2026-01-31 13:37:54.459000+00:00,2026-01-31 13:37:53.914500+00:00,0.15,0.04,0.44,0.37,1.6481749429537316,-3.103674256233484,3.393342307701137,-1.036762535633552,3.5180901752048395
3,2026-01-31 13:38:00.689000+00:00,2026-01-31 13:38:01.462000+00:00,2026-01-31 13:38:01.075500+00:00,0.21,0.09,0.35,0.35,1.8456781690012725,-0.7406543504866978,2.3313362554037704,2.2894060034662473,5.337375219219912
4,2026-01-31 13:38:05.990000+00:00,2026-01-31 13:38:06.523000+00:00,2026-01-31 13:38:06.256500+00:00,0.16,0.04,0.54,0.26,1.5941026118935113,2.2665454965429928,4.580362151358532,0.6441799412829035,2.9505774217165723
5,2026-01-31 13:38:12.649000+00:00,2026-01-31 13:38:13.222000+00:00,2026-01-31 13:38:12.935500+00:00,0.15,0.06,0.43,0.36,1.7082580053516974,-3.1033194419057843,2.5247421473902665,-2.09387947829888,5.286505770416725
6,2026-01-31 13:38:19.110000+00:00,2026-01-31 13:38:19.959000+00:00,2026-01-31 13:38:19.534500+00:00,0.28,0.05,0.44,0.23,1.7391312447632103,0.3361234102750408,3.7355451952881573,-3.757062823729571,14.034677979578756
7,2026-01-31 13:38:25.949000+00:00,2026-01-31 13:38:26.493000+00:00,2026-01-31 13:38:26.221000+00:00,0.26,0.0,0.41,0.33,1.56049548181623,-1.1088202506780198,0.4103143227456825,1.3987987940456996,0.5739471798363387
8,2026-01-31 13:38:33.349000+00:00,2026-01-31 13:38:33.903000+00:00,2026-01-31 13:38:33.626000+00:00,0.26,0.04,0.4,0.3,1.7409034464232227,-0.3302080056639486,2.297690763311378,2.2235559059671335,5.109043866847145
9,2026-01-31 13:38:46.790000+00:00,2026-01-31 13:38:47.566000+00:00,2026-01-31 13:38:47.178000+00:00,0.21,0.07,0.44,0.28,1.7767453960726147,0.6761922262408884,1.2406678897434826,0.22778798689076485,0.2826092410046813
