t,valid,kappa,MQ,a,kL,kS,mL,g,h,MRS_old,MRS_valley,MRS_gmm,MRS_h
0.0,0,,-0.9889286694025634,,0.1949271839507597,0.0134692103793765,0.1227910529632034,-0.006352236149480941,,0,0,0,0
1.0,0,,-0.9889286694025634,,0.2089522576818598,0.0105844936739373,0.1227910529632034,-0.005453783748172484,,0,0,0,0
2.0,1,0.3582514939616169,-0.9889286694025634,0.5506540137453119,0.1949271839507597,0.0071565462843801,0.1227910529632034,-0.004130900990217054,0.018402281816443794,1,0,1,1
3.0,1,0.2876847806828284,-0.9889286694025634,0.5576222256730539,0.1757885084659311,0.0038723033991681,0.1227910529632034,-0.0028160591759679994,0.021644820435727394,1,0,1,1
4.0,1,0.1706749067122026,-0.9889286694025634,0.5451216254398533,0.1757885084659311,0.0023184021706569,0.1227910529632034,-0.002269263816517269,0.018777045101944993,1,0,1,1
5.0,1,0.0734494669610734,-0.9889286694025634,0.5184589777504348,0.1949271839507597,0.0011087497392759,0.1227910529632034,-0.0020027688894827624,0.01240626756925102,1,0,1,1
6.0,1,0.050174991496446,-0.9889286694025634,0.4678894162895748,0.252004897045845,0.001181232521487,0.1227910529632034,-0.0025029537781098518,0.0015989604195610352,0,0,1,1
7.0,1,0.0941734738135395,-0.9889286694025634,0.431182135372076,0.3060973085584124,-0.0003344800982105,0.1227910529632034,-0.0024194488183741205,-0.004067055929950436,0,0,1,0
8.0,1,0.0659548715282398,-0.9889286694025634,0.4133782914361867,0.3918902281970874,-0.0036093988977864,0.1227910529632034,-0.0019805377373210194,-0.005930952085719452,0,0,0,0
9.0,1,0.1809021102196597,-0.9889286694025634,0.3970186936237403,0.4682748094787207,-0.0073913610564984,0.1227910529632034,-0.0012849622337410909,-0.007086701985861969,0,0,0,0
10.0,1,0.3171370807069946,-0.9889286694025634,0.3393037421987488,0.512307013173663,-0.0060600839251829,0.1227910529632034,-0.0021196073884994873,-0.012577842823263194,0,0,0,0
11.0,1,1.3023658518889032,-0.9889286694025634,0.3523690987605267,0.512307013173663,-0.0112382321424294,0.1227910529632034,-0.00029749195169580814,-0.009943846525941148,0,0,0,0
12.0,1,1.1744501492230264,-0.9889286694025634,0.3146987473854655,0.4682748094787207,-0.0094613174352224,0.1227910529632034,-0.0005565745335549305,-0.012187975792012702,0,0,0,0
13.0,1,0.1511214494548738,-0.9889286694025634,0.2761961196955468,0.3808504560485052,-0.0085721195389158,0.1227910529632034,-0.00014241734372771794,-0.012747523425628786,0,0,0,0
14.0,1,0.737820830093521,-0.9889286694025634,0.2952671453537361,0.3808504560485052,-0.0145162152489375,0.1227910529632034,0.0019492239335527533,-0.01029884711716453,0,0,0,0
15.0,1,0.7302946542069174,1.2345107753289704,0.2852613241194421,0.3437549056139383,-0.0143487017780988,-0.1121233851832728,0.0021825740127669737,-0.01028245956692343,0,0,0,0
16.0,1,1.2612975529484254,1.2345107753289704,0.2809292829915438,0.3437549056139383,-0.0126836071492631,-0.5726906499112482,0.0015648809992564788,-0.01097367800677557,0,0,0,0
17.0,1,0.6840752330565859,1.2345107753289704,0.2386176180073934,0.252004897045845,-0.0109727463666284,-0.5726906499112482,0.0017258806461640296,-0.010924975374060657,0,0,0,0
18.0,1,0.4699062432702612,1.2345107753289704,0.2407145749248816,0.252004897045845,-0.0065556994619869,-0.5726906499112482,0.0001715857491529636,-0.012498158700615068,0,0,0,0
19.0,1,0.0308394989588123,1.2345107753289704,0.2618446037118896,0.2009955900132363,-0.0095997439996608,-0.5726906499112482,0.0016669531292026248,-0.011054373675384747,0,0,0,0
20.0,1,0.1047718190687487,1.2345107753289704,0.2589830803430912,0.20736748894475,-0.0147273111341232,-0.5726906499112482,0.003418278760719147,-0.009311247154689228,0,0,0,0
21.0,1,0.167159253442465,1.2345107753289704,0.2971818721867183,0.252004897045845,-0.0186799232945665,-0.5726906499112482,0.004437924694613609,-0.007760986884300809,0,0,0,0
22.0,1,1.0994623235686338,1.2345107753289704,0.3618296826273609,0.3079961132622739,-0.0174283287839258,-0.5726906499112482,0.0035318631563995523,-0.005440977029941462,0,0,0,0
23.0,1,2.9735481047748658,1.2345107753289704,0.3439716063865928,0.3079961132622739,-0.0107593001988259,-0.5726906499112482,0.0011851284891834675,-0.00899853018810555,0,0,0,0
24.0,1,1.5082729183182904,1.2345107753289704,0.2176832726310818,0.3079961132622739,0.0071085321231519,-0.5726906499112482,-0.005102303181400872,-0.01743640930160563,0,0,0,0
25.0,1,0.2089522576818598,1.2345107753289704,0.3762494530320143,0.3079961132622739,0.0150466125043603,-0.5726906499112482,-0.00789559881419363,-0.015698648661600728,0,0,0,0
26.0,1,0.0606788035359153,1.2345107753289704,0.3665182413658786,0.3079961132622739,0.0125432210491951,-0.5726906499112482,-0.007014691581830839,-0.01562639979129369,0,0,0,0
27.0,1,0.0383663202775719,1.2345107753289704,0.3458227617108895,0.3079961132622739,0.0080267291687884,-0.5726906499112482,-0.005425403436683146,-0.015495435135707739,0,0,0,0
28.0,1,0.1188458685250624,1.2345107753289704,0.3216178998140582,0.3079961132622739,0.0032521054766635,-0.5726906499112482,-0.0037452824418122083,-0.01509231611311265,0,0,0,0
29.0,1,0.0844291211543688,1.2345107753289704,0.3086924404440303,0.3079961132622739,-0.001556783804998,-0.5726906499112482,-0.00205310388176037,-0.01390337272141227,0,0,0,0
30.0,1,0.2950575364098302,-1.458757545695516,0.2859422634661189,0.3079961132622739,-0.0057771750738238,-0.5726906499112482,-0.0005680092576501001,-0.01302037613137069,0,0,0,0
31.0,1,0.1377844895877555,-1.458757545695516,0.304448186740891,0.3566934824663821,0.0017819141255454,-0.3115072880525031,-0.0036149119613960857,-0.015604442983929923,0,0,0,0
32.0,1,0.138184097559332,-1.458757545695516,0.4503885318282083,0.4295478252526133,0.0062923012595603,-0.3115072880525031,-0.005807935433583566,-0.004620225107382775,0,0,1,0
33.0,1,0.4666433756871803,-1.458757545695516,0.3994733715842288,0.4295478252526133,0.0016802186932037,-0.3115072880525031,-0.0041850103091188575,-0.009724718828228465,0,0,0,0
34.0,1,0.6574234317629951,-1.458757545695516,0.4317189943646022,0.4735800289475557,0.003865173243993,-0.3115072880525031,-0.005320052196225152,-0.006893426946801055,0,0,1,0
35.0,1,0.9936538961589696,-1.458757545695516,0.3521465985763581,0.3566934824663821,0.0019343147734353,-0.3115072880525031,-0.00366853954435599,-0.013329857971643263,0,0,0,0
36.0,1,0.8358255949941265,-1.458757545695516,0.3846088137190204,0.3566934824663821,0.008659556212199,-0.3115072880525031,-0.006035054701451923,-0.013078417698005065,0,0,0,0
37.0,1,0.5702985769462723,-1.458757545695516,0.3331849535368462,0.3019725988614189,0.0089116895364372,-0.3115072880525031,-0.00566869778443625,-0.016461268449143533,0,0,0,0
38.0,1,0.5547077830770648,-1.458757545695516,0.3208577581962654,0.2759913019175928,0.0068261193417067,-0.3115072880525031,-0.0047187457910928855,-0.016098729483476567,0,0,0,0
39.0,1,1.2580923359162888,-1.458757545695516,0.2997831791857538,0.2759913019175928,0.0074277322513762,-0.3115072880525031,-0.004930444669475336,-0.017058571297995873,0,0,0,0
40.0,1,0.177789902278354,-1.458757545695516,0.3898526068667332,0.2612798151918182,0.0109309811623499,-0.3115072880525031,-0.0060408411417633215,-0.012576347231507513,0,0,0,0
41.0,1,0.1930389223446129,-1.458757545695516,0.3837594871933438,0.2612798151918182,0.0067067511063264,-0.3115072880525031,-0.004554395703980272,-0.01167772904528655,0,0,0,0
42.0,1,0.115674986432772,-1.458757545695516,0.3887903161163974,0.2612798151918182,0.0022881475248818,-0.3115072880525031,-0.002999553034925216,-0.00963991195598551,0,0,0,0
43.0,1,0.0773985935633394,-1.458757545695516,0.392441116125046,0.2612798151918182,-0.001680989492304,-0.3115072880525031,-0.0016028711466557217,-0.007878658639992753,0,0,0,0
44.0,1,0.3924522748180465,-1.458757545695516,0.3936772678504874,0.2759913019175928,-0.0056753765920812,-0.3115072880525031,-0.0003196502518372966,-0.00646928755332098,0,0,0,0
45.0,1,0.6088040557535632,0.3133762458730196,0.2550822695904403,0.2759913019175928,0.001783053266643,-0.3115072880525031,-0.002944163805666284,-0.0156770599062551,0,0,0,0
46.0,1,0.0398953593202289,0.3133762458730196,0.2969621271756935,0.2759913019175928,0.0122357674713905,-0.3115072880525031,-0.006622322697590649,-0.018827002455021134,0,0,0,0
47.0,1,0.9921503299343932,0.3133762458730196,0.2425002132943211,0.2759913019175928,0.0054729186067178,-0.3115072880525031,-0.00424257403144625,-0.016926493889726713,0,0,0,0
48.0,1,0.0858669797248924,0.3133762458730196,0.2353715427255562,0.2612798151918182,0.0048981934474326,-0.3115072880525031,-0.0039179904312141986,-0.01653487923759002,0,0,0,0
49.0,1,0.2057827202076403,0.3133762458730196,0.1911261899711883,0.2759913019175928,0.002479750422776,-0.3115072880525031,-0.0031893214546379863,-0.01481014645922716,0,0,0,0
50.0,1,0.3209346901147177,0.3133762458730196,0.1959563558208298,0.2831413296366594,-0.0015718434882536,-0.3115072880525031,-0.001823086437631564,-0.013597849935916997,0,0,0,0
51.0,1,1.075804492288155,0.3133762458730196,0.1863676199113479,0.2831413296366594,-0.0037033698807856,-0.3115072880525031,-0.0010730331404217195,-0.012532221133441436,0,0,0,0
