t,valid,kappa,mq,a,kL,kS,mqL,g,h
0,True,,-0.10173395462275005,,0.3042658008334589,-0.022551137883320273,-0.4430825245504519,0.005374468682017436,
1,True,,-0.10173395462275005,,0.3539245995407197,-0.01580971101012197,-0.7844310944781537,0.0025657307754193095,
2,True,0.7534010683198837,-0.10173395462275005,0.6093847449242348,0.36110695854226027,-0.006912798339970522,-0.7844310944781537,-0.0006246952048356216,0.04014756563607578
3,True,1.0354623708252548,-0.10173395462275005,0.434682871814759,0.3042658008334589,-0.007222328620524909,-0.7844310944781537,-4.306401286040856e-05,-0.0012014833468437097
4,True,0.2345497346023551,-0.10173395462275005,0.3496722683853952,0.24579426508279784,-0.004932464846152866,-0.7844310944781537,-0.0003625631558829048,-0.010187605133276934
5,True,0.0009162229966759,-0.10173395462275005,0.38483256610758493,0.24579426508279784,-0.008571502661265794,-0.7844310944781537,0.000917961599268952,-0.006104227850546581
6,True,0.925876447907144,-0.10173395462275005,0.4016182344971121,0.3042658008334589,-0.009156452534225357,-0.7844310944781537,0.000637526208197176,-0.004668714741909545
7,True,0.3682893175438009,-0.10173395462275005,0.3411046819297305,0.3042658008334589,-0.004606963697844461,-0.7844310944781537,-0.000963373088336231,-0.01131768961127109
8,True,0.3539245995407197,-0.10173395462275005,0.6968568217183451,0.3042658008334589,0.0084407605419241,-0.7844310944781537,-0.005554678465276948,0.07144020012137198
9,True,0.5405142737001865,-0.10173395462275005,0.43933472378427435,0.24579426508279784,0.004844643492569009,-0.7844310944781537,-0.0038029861186617314,-0.00429248221246134
10,True,0.7589553741765513,-0.10173395462275005,0.43382206879627333,0.24579426508279784,0.00747575129099394,-0.7844310944781537,-0.004728834884333784,-0.006008668106567399
11,True,0.9984765146116528,-0.10173395462275005,0.3515192064879142,0.2359962804082391,0.006146427998519009,-0.7844310944781537,-0.004179581608523485,-0.013882879393157365
12,True,0.4646859711856687,-0.10173395462275005,0.32247290466247225,0.2232936864200356,0.006357042230612358,-0.7844310944781537,-0.00414805426787215,-0.015457517591459998
13,True,0.6483983593445947,-0.10173395462275005,0.2945161119037901,0.21015624316987036,0.004333131005293233,-0.7844310944781537,-0.003326613383006002,-0.015593289446227737
14,True,0.2546070021261981,-0.10173395462275005,0.2775739690101875,0.190202138662039,0.003639143787754741,-0.7844310944781537,-0.0029164636531512937,-0.01550366941089464
15,True,1.0131296409969537,-0.7844310944781537,0.30667390624596225,0.190202138662039,0.007777138921752388,-0.8631192068760307,-0.004377992239704539,-0.01629606931422308
16,True,1.100330921771254,-0.7844310944781537,0.46288689495254104,0.190202138662039,0.02567380065204559,-0.8631192068760307,-0.010675568561952276,-0.0074395998184521445
17,True,0.0624671922232612,-0.7844310944781537,0.590520505988326,0.190202138662039,0.04168227840437655,-0.8631192068760307,-0.016308720261839573,0.01810302057529116
18,True,0.2369815280393976,-0.7844310944781537,0.4836974378587034,0.21015624316987036,0.035741169769534044,-0.8631192068760307,-0.01438407576216094,-0.00736827795802783
19,True,0.7349529532927108,-0.7844310944781537,0.46196624650439155,0.21015624316987036,0.03480323348695871,-0.8631192068760307,-0.014054029555000121,-0.010974529848899316
20,True,0.4671420678882972,-0.7844310944781537,0.44357995890857443,0.190202138662039,0.03218456125857163,-0.8631192068760307,-0.012966611017433158,-0.01282667222425734
21,True,0.0754233187963774,-0.7844310944781537,0.4577518288989188,0.190202138662039,0.03368883118945109,-0.8631192068760307,-0.013495941841345453,-0.011121291753646748
22,True,0.0888814967330716,-0.7844310944781537,0.4283233829362113,0.21015624316987036,0.028834007924877177,-0.8631192068760307,-0.011953545446374978,-0.01399165601970739
23,True,0.0787061425464037,-0.7844310944781537,0.38332010444248876,0.21015624316987036,0.021783508189416108,-0.8631192068760307,-0.009472576600721655,-0.016637032324238802
24,True,0.2087361462767501,-0.7844310944781537,0.35368849183293094,0.21548457392433565,0.017132121170171547,-0.8631192068760307,-0.007880133165443587,-0.0174369331897529
25,True,0.0250020927120315,-0.7844310944781537,0.3299328507374274,0.22720192028138064,0.012818032669538097,-0.8631192068760307,-0.0064595136012336515,-0.017418129487328033
26,True,0.044522999839672,-0.7844310944781537,0.28376873713618633,0.2685704375249906,0.006505342009140482,-0.8631192068760307,-0.0045822048922149975,-0.017073945341971562
27,True,0.0335223782733928,-0.7844310944781537,0.4076986565255927,0.3521487722025998,0.01666503843230901,-0.8631192068760307,-0.00885232322450736,-0.013473653128273495
28,True,0.2350110327770806,-0.7844310944781537,0.5299479611707302,0.40698043924646365,0.02338834030979246,-0.8631192068760307,-0.011674156179642977,0.005488933130955283
29,True,0.1645539640070256,-0.7844310944781537,0.48911485777109853,0.4371070546547212,0.02182852382572786,-0.8631192068760307,-0.011375823336909969,-0.003298247834842394
30,True,1.0757804377718378,-0.9418073192739077,0.49448483838242,0.5650979627027597,0.02145123906195686,-0.42094343368007947,-0.012276980088346514,-0.003114504347915832
31,True,1.5895724046122033,-0.9418073192739077,0.554130075107936,0.5650979627027597,0.03267338459458983,0.09415309418336884,-0.016190358953596964,0.007296749681408615
32,True,0.1516819386851189,-0.9418073192739077,0.6011212392284481,0.5650979627027597,0.04583040085696831,0.09415309418336884,-0.02082012261198543,0.017105726794541753
33,True,0.2115763400629906,-0.9418073192739077,0.5232989818439715,0.5650979627027597,0.036272120023948015,0.09415309418336884,-0.01745670188232308,-0.001906748178236349
34,True,0.0919248578785219,-0.9418073192739077,0.5372578245902286,0.7364967252763683,0.036383475356859304,0.09415309418336884,-0.01892130133585501,7.716514515306028e-05
35,True,0.8052184580960314,-0.9418073192739077,0.5545868450055769,0.8121878147385375,0.03604215326533713,0.09415309418336884,-0.01943066995755379,0.004182925755311068
36,True,0.6677749924567052,-0.9418073192739077,0.480539401531848,0.7434660819188745,0.02819471742873952,0.09415309418336884,-0.016097755633342547,-0.009685899048441055
37,True,2.5632427948218885,-0.9418073192739077,0.4095267537996313,0.640789052164929,0.01901205545382888,0.09415309418336884,-0.012012609817268774,-0.016421297859704538
38,True,0.1501788850991609,-0.9418073192739077,0.3994361914810248,0.4371070546547212,0.023167370496047293,0.09415309418336884,-0.01178091068533501,-0.01732462909577304
