task_idx,bin_start_utc,bin_end_utc,x_Delta,x_Theta,x_Alpha,x_Beta,x_Gamma,theta_h,radius,dtheta,d2theta,kappa_torus,dr,d2r,kappa_geom
0,2026-01-31 14:43:11.380000+00:00,2026-01-31 14:43:11.630000+00:00,58.17561430673146,8.156312861089933,125.10243467962118,40.64893809937702,5.832078720249992,2.4027725916134033,1.3112357630492684,,,,,,
0,2026-01-31 14:43:11.505000+00:00,2026-01-31 14:43:11.755000+00:00,71.0264186784424,14.777228333613863,132.57821007656963,44.72035845531747,6.110274033424465,2.4357160715693214,1.3978975660232578,0.032943479955918065,,,0.0866618029739894,,
0,2026-01-31 14:43:11.630000+00:00,2026-01-31 14:43:11.880000+00:00,57.06623052749539,19.362228289424404,153.9800057600915,45.417907323432104,6.923649118398601,2.472120567022609,1.6102856159885657,0.03640449545328783,0.003461015497369768,0.003461015497369768,0.2123880499653079,0.1257262469913185,0.1257262469913185
0,2026-01-31 14:43:11.755000+00:00,2026-01-31 14:43:12.005000+00:00,26.09621833568942,19.66714749279263,131.4035742219522,34.48732655447979,6.359443173151881,2.3635853234030892,1.350085125426522,-0.10853524361951992,-0.14493973907280777,0.14493973907280777,-0.26020049056204364,-0.47258854052735155,0.47258854052735155
0,2026-01-31 14:43:11.880000+00:00,2026-01-31 14:43:12.130000+00:00,10.31658793145517,15.170080845207318,78.86237112308805,23.672530557288677,5.628139410198876,2.06228562822694,0.7640545526135318,-0.3012996951761493,-0.19276445155662936,0.19276445155662936,-0.5860305728129902,-0.32583008225094656,0.32583008225094656
0,2026-01-31 14:43:12.005000+00:00,2026-01-31 14:43:12.255000+00:00,11.238374681517382,8.033761697289833,72.76679856209387,21.034350257642267,5.2622274673917,1.990288193589419,0.721099357085299,-0.07199743463752095,0.22930226053862834,0.22930226053862834,-0.04295519552823279,0.5430753772847574,0.5430753772847574
0,2026-01-31 14:43:12.130000+00:00,2026-01-31 14:43:12.380000+00:00,10.007271111580078,4.665122100003019,131.48385079672397,30.225795285759805,5.500678935989624,2.3336336241802056,1.4018534207368285,0.34334543059078654,0.4153428652283075,0.4153428652283075,0.6807540636515295,0.7237092591797623,0.7237092591797623
0,2026-01-31 14:43:12.255000+00:00,2026-01-31 14:43:12.505000+00:00,8.837857775117744,4.629076775078285,201.95228597104588,38.14511861523968,6.696453533415747,2.4650601223754744,2.2091468421291798,0.1314264981952689,-0.21191893239551765,0.21191893239551765,0.8072934213923513,0.1265393577408218,0.1265393577408218
0,2026-01-31 14:43:12.380000+00:00,2026-01-31 14:43:12.630000+00:00,22.210110531634406,5.175572759171083,221.34757838806325,27.59825990737866,9.03076404106044,2.480284698860404,2.2367292299493675,0.015224576484929475,-0.11620192171033941,0.11620192171033941,0.027582387820187737,-0.7797110335721635,0.7797110335721635
0,2026-01-31 14:43:12.505000+00:00,2026-01-31 14:43:12.755000+00:00,44.85608597904399,6.970440566852611,177.13884364906394,12.564469246176317,9.668727634869704,2.396291242705752,1.5861899578484773,-0.08399345615465181,-0.09921803263958129,0.09921803263958129,-0.6505392721008902,-0.678121659921078,0.678121659921078
0,2026-01-31 14:43:12.630000+00:00,2026-01-31 14:43:12.880000+00:00,65.8009219220145,12.159805251040845,114.78085122539952,14.246860873253294,7.431478106944057,2.200000832756151,1.0160178171727852,-0.19629040994960123,-0.11229695379494942,0.11229695379494942,-0.5701721406756921,0.08036713142519814,0.08036713142519814
0,2026-01-31 14:43:12.755000+00:00,2026-01-31 14:43:13.005000+00:00,89.96145483802934,17.213364906792457,95.40026277314982,35.633784674874875,6.3603259408014505,2.301932517771036,0.8928578008855387,0.10193168501488525,0.2982220949644865,0.2982220949644865,-0.12316001628724649,0.4470121243884456,0.4470121243884456
0,2026-01-31 14:43:12.880000+00:00,2026-01-31 14:43:13.130000+00:00,112.8352550982955,13.03003616751646,122.87259288499455,45.865212116855616,5.566262790816989,2.4172315296874864,1.3182691932855493,0.1152990119164503,0.013367326901565045,0.013367326901565045,0.4254113924000106,0.5485714086872571,0.5485714086872571
0,2026-01-31 14:43:13.005000+00:00,2026-01-31 14:43:13.255000+00:00,111.1566280097985,4.142574647590039,126.81445229523666,35.628362462395216,3.948483958410296,2.314244473681406,1.4810431909025776,-0.10298705600608038,-0.2182860679225307,0.2182860679225307,0.16277399761702838,-0.2626373947829822,0.2626373947829822
0,2026-01-31 14:43:13.130000+00:00,2026-01-31 14:43:13.380000+00:00,72.1756366215438,1.5052887497092364,76.83234090080049,29.136978830495135,4.305161821137473,2.1130700417760893,0.8331439645562966,-0.2011744319053168,-0.09818737589923643,0.09818737589923643,-0.647899226346281,-0.8106732239633094,0.8106732239633094
1,2026-01-31 14:43:16.261000+00:00,2026-01-31 14:43:16.511000+00:00,250.224067707132,6.3856799444027095,73.68054428060128,14.345428458619626,5.870347554378503,1.8874862865751674,0.6770746348644731,-0.2255837552009219,-0.02440932329560508,0.02440932329560508,-0.15606932969182352,0.49182989665445753,0.49182989665445753
1,2026-01-31 14:43:16.386000+00:00,2026-01-31 14:43:16.636000+00:00,178.28256240796205,5.151772110778655,100.03090995092191,12.050962901767138,10.198386749883639,2.221431831684483,0.5618534313781375,0.3339455451093156,0.5595293003102375,0.5595293003102375,-0.11522120348633558,0.040848126205487945,0.040848126205487945
1,2026-01-31 14:43:16.511000+00:00,2026-01-31 14:43:16.761000+00:00,102.96921688483879,3.3464733258566204,108.76874160705394,18.11199107913547,17.141627800993582,-2.5767483208032145,0.32789763906225367,1.485005154691889,1.1510596095825734,1.1510596095825734,-0.23395579231588381,-0.11873458882954824,0.11873458882954824
1,2026-01-31 14:43:16.636000+00:00,2026-01-31 14:43:16.886000+00:00,49.42805377077887,5.3611994505213065,98.78609116941593,30.30670869814796,15.252080572971849,-2.743322310720384,0.3607626982698462,-0.16657398991716965,-1.6515791446090586,1.6515791446090586,0.03286505920759253,0.26682085152347634,0.26682085152347634
1,2026-01-31 14:43:16.761000+00:00,2026-01-31 14:43:17.011000+00:00,40.60474183078237,9.725842250657312,78.97983511546758,26.126523159461662,10.697414673999885,2.4971204621551277,0.2875195891779603,-1.0427425343040746,-0.876168544386905,0.876168544386905,-0.07324310909188592,-0.10610816829947844,0.10610816829947844
