task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-31 10:39:31.502000+00:00,2026-01-31 10:39:32.307000+00:00,2026-01-31 10:39:31.904500+00:00,0.3,0.07,0.4,0.23,1.8060836787018706,0.22135398662457356,3.1562645366325977,,
1,2026-01-31 10:39:47.424000+00:00,2026-01-31 10:39:48.233000+00:00,2026-01-31 10:39:47.828500+00:00,0.15,0.08,0.42,0.35,1.757800226937745,3.086350539143324,2.18350842314483,,
2,2026-01-31 10:39:53.468000+00:00,2026-01-31 10:39:54.025000+00:00,2026-01-31 10:39:53.746500+00:00,0.27,0.08,0.3,0.35,1.852720329578668,-0.8183923153355751,2.889293232085672,-0.48655409981806325,1.4057974676478666
3,2026-01-31 10:39:59.243000+00:00,2026-01-31 10:39:59.736000+00:00,2026-01-31 10:39:59.489500+00:00,0.21,0.0,0.51,0.28,1.4824732284500284,2.4765483961831247,3.6568960934191117,-5.366687048361574,19.625416901756385
4,2026-01-31 10:40:06.990000+00:00,2026-01-31 10:40:07.781000+00:00,2026-01-31 10:40:07.385500+00:00,0.16,0.05,0.51,0.28,1.6487634824519433,2.4622531463930115,3.415226786584811,2.9739493458707735,10.156711467964243
5,2026-01-31 10:40:11.646000+00:00,2026-01-31 10:40:12.224000+00:00,2026-01-31 10:40:11.935000+00:00,0.23,0.09,0.42,0.26,1.8312560454695046,0.6019468792222333,1.565996407503216,-1.8460110173806648,2.890846621429478
6,2026-01-31 10:40:18.085000+00:00,2026-01-31 10:40:19.773000+00:00,2026-01-31 10:40:18.929000+00:00,0.35,0.05,0.33,0.27,1.7840410441293808,-0.24719015096132083,4.038482481505928,1.011169236987224,4.08358924941062
7,2026-01-31 10:40:24.023000+00:00,2026-01-31 10:40:24.771000+00:00,2026-01-31 10:40:24.397000+00:00,0.2,0.04,0.35,0.41,1.7076251929760358,-2.3168208484961132,2.9901581727671735,-1.2204936673512383,3.6494691142408855
8,2026-01-31 10:40:30.184000+00:00,2026-01-31 10:40:30.715000+00:00,2026-01-31 10:40:30.449500+00:00,0.18,0.08,0.48,0.26,1.7503733624543882,1.9602243388588139,2.1895666980739756,0.06349057771013356,0.1390168545955863
9,2026-01-31 10:40:36.453000+00:00,2026-01-31 10:40:37.336000+00:00,2026-01-31 10:40:36.894500+00:00,0.21,0.09,0.44,0.26,1.8119120419458878,1.1460831054146252,1.4223349850848204,1.1919988863804702,1.6954217182810887
