t,valid,kappa,MQ,a,kL,kS,mL,g,h,MRS_old,MRS_valley,MRS_gmm,MRS_h
0.0,0,,0.8485408881632094,,0.316012339841867,0.024392717040761,0.4158535109216607,-0.011182833080399744,,0,0,0,0
1.0,0,,0.8485408881632094,,0.3241705819012504,0.0309504033801927,0.2971031767305031,-0.013566426457460234,,0,0,0,0
2.0,1,0.251339014064929,0.8485408881632094,0.4909215626472965,0.316012339841867,0.0249566726085062,0.2971031767305031,-0.0113894723798497,-0.002950508004406091,0,0,0,0
3.0,1,0.0773268695773259,0.8485408881632094,0.5061794422152583,0.360199302988101,0.0261459370390578,0.2971031767305031,-0.012175432356435301,-0.0005368891991337915,0,0,0,0
4.0,1,0.150616802797072,0.8485408881632094,0.4247317407291001,0.360199302988101,0.0222278331839,0.2971031767305031,-0.010796708299502192,-0.013314086140687374,0,0,0,0
5.0,1,0.2724094809343258,0.8485408881632094,0.4094748827421361,0.4008702805798961,0.0205403881036762,0.2971031767305031,-0.010541155592869651,-0.014955920317591007,0,0,0,0
6.0,1,0.3078540977824837,0.8485408881632094,0.4765145622118451,0.4089287840527347,0.0208607251133767,0.2971031767305031,-0.010720895029266249,-0.00506285947685662,0,0,0,0
7.0,1,0.3962280240749516,0.8485408881632094,0.4754423834480158,0.4089287840527347,0.0171547187182711,0.2971031767305031,-0.009416804999760319,-0.003956594194299008,0,0,0,0
8.0,1,0.1428943771548915,0.8485408881632094,0.5411443252603783,0.4355886936077167,0.0210508658899572,0.2971031767305031,-0.011009516426640137,0.008991476266780048,1,0,0,1
9.0,1,0.1242016750348693,0.8485408881632094,0.437376342746337,0.4355886936077167,0.0172036802701455,0.2971031767305031,-0.009655747470633767,-0.01042949172556664,0,0,0,0
10.0,1,0.263914103583275,0.8485408881632094,0.3924059847232365,0.4355886936077167,0.0123738717050327,0.2971031767305031,-0.007956207717409333,-0.014235560319703255,0,0,0,0
11.0,1,0.0562932294823876,0.8485408881632094,0.4003789925052604,0.4659829984681359,0.014780309333555,0.2971031767305031,-0.009055768514427433,-0.014497414827363556,0,0,0,0
12.0,1,0.4731336407414673,0.8485408881632094,0.4656300328093674,0.4767126946281794,0.0168047720699127,0.2971031767305031,-0.009857379758056669,-0.006149870013996937,0,0,0,0
13.0,1,0.1166143505414466,0.8485408881632094,0.3663234083161601,0.469562052354848,0.0134406182084098,0.2971031767305031,-0.008614115318953338,-0.017241195930422015,0,0,0,0
