label,fs,n_bins,radius_median,k2_mean_all,k2_mean_lowR,k2_mean_highR,k2_tail90_all,k2_tail90_lowR,k2_tail90_highR,kG_mean_all,kG_mean_lowR,kG_mean_highR,kG_tail90_all,kG_tail90_lowR,kG_tail90_highR,Release_low_minus_high_k2,Release_low_minus_high_kG
P1,256.1407175628518,450,0.8696457363880622,0.7120335577509359,0.9146285166942981,0.5076216036600995,1.9943794944689945,2.2742277623634934,1.3872825975353038,0.6805851741438643,0.40506468129535717,0.9585767028026719,1.4549402271000482,0.8715061341213092,2.1259972520712576,0.40700691303419867,-0.5535120215073148
P2,256.1407175628518,450,0.9430213686062507,0.6080040281005351,0.7656195958216335,0.44897486784382135,1.5691129840449103,1.9833372095016262,1.0854343973027596,0.7213085707696612,0.47085201826427503,0.9740113703827188,1.6159453729161137,1.0498343127043361,2.2250836793469824,0.3166447279778122,-0.5031593521184438
P3,256.1407175628518,450,1.3116719840649906,0.7605851538763471,0.8813614498222182,0.6387256624511407,1.9882481765796745,2.2379966721859117,1.8543330821383335,0.9439706195208056,0.6700661401637912,1.2203316412935783,1.957492802090201,1.478529752475142,2.57227625542186,0.2426357873710775,-0.5502655011297871
P4,256.1407175628518,450,1.2752949395194921,0.8538247421590933,1.061199402204284,0.6482934124254155,2.2974149338220213,2.5165406980450276,1.6893703917731369,1.009157589899299,0.729062814327431,1.28676263413275,2.09125301130806,1.3600574220220152,2.6977472677965184,0.4129059897788686,-0.557699819805319
P5,256.1407175628518,450,1.291321441934563,0.7454578501411225,0.9074163794191796,0.5820467779995849,1.9202913951659117,2.082227448917709,1.5649919896747577,0.9115602271920082,0.5979604788925929,1.227972529287831,1.8894581075205854,1.2442643287105852,2.6941684690562053,0.3253696014195947,-0.6300120503952381
P6,256.1407175628518,450,1.2950503296179456,0.8905275028750133,1.133856390104746,0.6493615390873227,2.3623043105073696,2.5108054947814935,1.6139053119653293,1.013713776385992,0.8434340292030245,1.1824799258162224,2.1601755705207712,1.6847474921172971,2.551691506017021,0.4844948510174233,-0.33904589661319795
P7,256.1407175628518,450,0.7755899087797182,0.7910869128807695,0.9836635237622843,0.5985103019992548,2.45797278423941,2.640187403919681,2.224317892005452,0.5497394028199907,0.3481685177711474,0.7513102878688339,1.2810780284806886,0.742661446943651,1.6870035758419362,0.38515322176302946,-0.40314177009768654
P8,256.1407175628518,450,0.9388137809206862,0.6684597484773873,0.8015381948656101,0.5341877734220055,1.7876093418440842,2.054102945754746,1.3326433570423355,0.6456862403019551,0.4437027599432699,0.8494812316952476,1.5864171341161482,0.9678023993723658,1.9413902661763314,0.26735042144360455,-0.4057784717519777
P9,256.1407175628518,450,1.4673213328477255,0.8072008535050654,0.9803567423378662,0.6324919970594144,2.0952494739801795,2.2769428618759044,1.8385117414171057,1.0403434064659371,0.8181132163629381,1.2645666924442998,2.309915987314887,1.7445490634906953,2.9434195191381245,0.3478647452784518,-0.44645347608136166
P10,256.1407175628518,450,0.9828776949831393,0.8982700462792332,1.0154665702701424,0.7821152691682433,2.2209727943981226,2.3235960090149526,2.1550791720827056,0.9637173805179425,0.6118682053221765,1.312439007489746,2.2349721300708754,1.1865018561599547,2.9781280462477304,0.23335130110189917,-0.7005708021675696
P11,256.1407175628518,450,0.924466837018767,0.9506579940499867,1.064730119113217,0.8355628006005392,2.4462625079172113,2.4770009571162857,2.396845384698142,0.9627843375647995,0.6523082597523514,1.2760449541917092,1.9753823325604465,1.3171159774826382,2.552469863188529,0.2291673185126778,-0.6237366944393578
P12,256.1407175628518,450,0.5562732683203884,1.07529221558981,1.2049546439762955,0.9444668954689164,2.7427102547415876,2.775574023127291,2.7306244610921038,0.5486151955613665,0.4076531758079003,0.6908414486758503,1.2112680160320202,0.8427650460687646,1.5168824579308544,0.2604877485073791,-0.28318827286795
