t,valid,kappa,mq,a,kL,kS,mqL,g,h
0,True,,-0.43619407953595624,,1.2596185281342185,0.03994901563875775,0.15183253205044228,-0.024522457832249826,
1,True,,-0.43619407953595624,,1.1984341205989493,0.027851255221299998,0.15183253205044228,-0.019756598952624823,
2,True,0.094444444950957,-0.43619407953595624,0.3624722615105406,1.2596185281342185,0.036641193898661564,0.15183253205044228,-0.023358483221644907,-0.03228291106890614
3,True,0.445125415965154,-0.43619407953595624,0.3497279007830011,1.2596185281342185,0.019525645364035785,0.15183253205044228,-0.017335769331294396,-0.027157184147078052
4,True,0.0824921793964891,-0.43619407953595624,0.34693944045438674,1.2596185281342185,0.004859157958141818,0.15183253205044228,-0.012174844617521573,-0.02217502220300947
5,True,0.156842241272064,-0.43619407953595624,0.3785717357514428,1.2596185281342185,-0.012196592082686033,0.15183253205044228,-0.006173172951934718,-0.013771270150898067
6,True,1.379356030850286,-0.43619407953595624,0.4073052392986779,1.2596185281342185,-0.02848848724965702,0.15183253205044228,-0.0004402907645046747,-0.005106974232294271
7,True,1.6222605169607167,-0.43619407953595624,0.439692891306848,1.181549958143182,-0.035808708956823164,0.15183253205044228,0.0027848362698518355,0.0023477428152117175
8,True,0.115892362856417,-0.43619407953595624,0.43957972716949884,1.102583059059281,-0.03496305804956835,0.15183253205044228,0.0031439817153958243,0.00269031754011536
9,True,3.050796276350108,-0.43619407953595624,0.451077550828937,1.102583059059281,-0.047848176215762796,0.15183253205044228,0.007678068367737158,0.008974462182535621
10,True,2.746043097828962,-0.43619407953595624,0.402673511891596,1.102583059059281,-0.025857233161270084,0.15183253205044228,-6.02263137482674e-05,-0.005250050138002234
11,True,0.6165323590013048,-0.43619407953595624,0.4779303030752201,1.102583059059281,-0.013410922573309883,0.15183253205044228,-0.004439902928264875,0.0014812680855976201
12,True,0.2249554276343042,-0.43619407953595624,0.45815476209464423,1.181549958143182,-0.01646311125691725,0.15183253205044228,-0.0040225996559464785,-0.0015813672471900395
13,True,0.7729332366837591,-0.43619407953595624,0.4221857497251688,1.2596185281342185,-0.02238198975553096,0.15183253205044228,-0.0025890788798759207,-0.005438591911771665
14,True,0.0226806881287799,-0.43619407953595624,0.4290480561601288,1.2596185281342185,-0.031202338956327118,0.15183253205044228,0.0005146743852857054,-0.0014252064532374355
15,True,3.020917135789997,0.7398591436368408,0.4158643534630215,1.2596185281342185,-0.04775709915051446,-0.32789348783787936,0.006306963080638656,0.0026597963714834055
16,True,2.4720622772519083,0.7398591436368408,0.46039397274418786,1.2596185281342185,-0.024908711246339768,-0.5659190312104768,-0.0017494732333589815,0.0010648812627651189
17,True,1.1984341205989493,0.7398591436368408,0.505489866144935,1.2596185281342185,-0.005554019130822863,-0.5659190312104768,-0.00856010935242683,0.002928072035832431
18,True,1.164665795687415,0.7398591436368408,0.3904502200288599,1.2427343656784513,-0.014378557976771249,-0.5659190312104768,-0.005314466909435757,-0.01179054357087141
19,True,1.569660481337526,0.7398591436368408,0.33759164456867086,1.1806516290503173,-0.022849913193989203,-0.5659190312104768,-0.001817216715565444,-0.012371909200891141
20,True,3.0857587052989333,0.7398591436368408,0.30290963468237175,0.9376548058596926,-0.02780295391194159,-0.5659190312104768,0.001946537566867659,-0.010090367620655443
21,True,3.002225056644906,0.7398591436368408,0.2275817513494027,0.7456709019142805,-0.021402089707701306,-0.5659190312104768,0.0012907747919623856,-0.011221596418513034
22,True,0.03197915238677,0.7398591436368408,0.14924477466466757,0.5694489254343492,-0.013067510696905923,-0.5659190312104768,-0.0001765162286736004,-0.010062363087841723
23,True,1.4591454216612816,0.7398591436368408,0.17579917069819903,0.5694489254343492,-0.02375817952922425,-0.5659190312104768,0.003585375453809285,-0.0074806432465256015
24,True,1.3208029356694877,0.7398591436368408,0.15223432307137708,0.47840329020891237,-0.026260938216173164,-0.5659190312104768,0.005223228998977462,-0.004808308858723377
25,True,1.44588544137838,0.7398591436368408,0.18051786666127126,0.40681157622543923,-0.0289740812468829,-0.5659190312104768,0.0067733277895987406,-0.004473950353828682
26,True,0.6565325145403227,0.7398591436368408,0.1449653549841641,0.40681157622543923,-0.0191349546212185,-0.5659190312104768,0.0033110814889661016,-0.006360917439345632
27,True,1.67813056912115,0.7398591436368408,0.13823272746301418,0.40681157622543923,-0.0164940928856059,-0.5659190312104768,0.002381800453924071,-0.00694153168752201
28,True,0.8348092892882384,0.7398591436368408,0.13477301006141693,0.39755484540362396,-0.014687740658773504,-0.5659190312104768,0.0018231536174732254,-0.007315386238177814
29,True,2.7834789688970063,0.7398591436368408,0.15526302854884996,0.31929404254466975,-0.020241097691109825,-0.5659190312104768,0.004428145216116919,-0.0057478164265995745
30,True,0.1484726856388827,-1.3956461193125995,0.25672786540083076,0.22393943118339638,-0.012867574093513565,-0.5659190312104768,0.0026265129515934053,-0.010106052488253185
31,True,3.063082248450905,-1.3956461193125995,0.16647634708795983,0.31929404254466975,-0.0032393051873444755,-0.5473061382270041,-0.0015532556403423136,-0.012235052711378914
32,True,0.023125024083454,-1.3956461193125995,0.20287283708466108,0.31929404254466975,0.026008119013051393,-0.5473061382270041,-0.011845001045541459,-0.023821912205875803
33,True,0.0229450527205012,-1.3956461193125995,0.18276079385453767,0.39755484540362396,0.024952709832759993,-0.5473061382270041,-0.01212446343392649,-0.023454688617642678
34,True,0.0111358824829683,-1.3956461193125995,0.21090923821868443,0.46518451326763377,0.017804372128198583,-0.5473061382270041,-0.010171500004032191,-0.02235534337128982
35,True,0.0451346116559583,-1.3956461193125995,0.23762447567471454,0.47840329020891237,0.009110897974400307,-0.5473061382270041,-0.007222324441026413,-0.019863395448237127
36,True,0.1212149380582218,-1.3956461193125995,0.26616356412724007,0.47840329020891237,-0.0012022089697459036,-0.5473061382270041,-0.00359329132417821,-0.01629293382509097
37,True,1.0405003224311469,-1.3956461193125995,0.3086256205000796,0.5669258610687554,-0.006831729813957775,-0.5473061382270041,-0.002348530634635956,-0.014201090106082793
38,True,0.4823653363283757,-1.3956461193125995,0.3197881069250972,0.5669258610687554,-0.004789350119280391,-0.5473061382270041,-0.0030672144987036677,-0.0144928462235003
39,True,2.776117743763834,-1.3956461193125995,0.35192879853734127,0.737328666386215,-0.008084544106078609,-0.5473061382270041,-0.003324815788121718,-0.013000743326243226
40,True,1.6035270034851912,-1.3956461193125995,0.28503155449552914,0.562963814949292,-0.00034934063486052695,-0.5473061382270041,-0.004596639763154826,-0.01706587913427275
41,True,1.398838951391178,-1.3956461193125995,0.24980429189022366,0.4668220541156357,0.00043307878885858527,-0.5473061382270041,-0.004072411608908055,-0.01679575269290779
42,True,1.4270364458292215,-1.3956461193125995,0.2738588533653638,0.45756532329382044,-0.002267408918802902,-0.5473061382270041,-0.0030451666803272418,-0.015677896242128484
43,True,0.474441244089449,-1.3956461193125995,0.2309025294350077,0.45756532329382044,0.014974603265222926,-0.5473061382270041,-0.009112381299142587,-0.02167323585610248
44,True,0.057015989079876,-1.3956461193125995,0.29956127832500185,0.45756532329382044,0.025382702379877425,-0.5473061382270041,-0.012774840786383615,-0.024909186177435594
45,True,2.961860521029592,0.2638080568916458,0.32764910177456347,0.45756532329382044,0.012531001085352189,-0.5473061382270041,-0.008252513047685458,-0.019322954489612937
46,True,3.0029717215517726,0.2638080568916458,0.36189895622911206,0.45756532329382044,0.02409632580531477,-0.7477327548717538,-0.012336009073308335,-0.02130364659249025
47,True,0.0332699482088408,0.2638080568916458,0.47129528721759667,0.45756532329382044,0.03567562071338577,-0.7477327548717538,-0.016410595414623568,-0.011703803680454719
48,True,0.0437544357474822,0.2638080568916458,0.4641758890221152,0.45756532329382044,0.024638425902356275,-0.7477327548717538,-0.012526766253997408,-0.009070217184272443
49,True,0.0788635977876704,0.2638080568916458,0.46242688613041705,0.45756532329382044,0.013541628547405506,-0.7477327548717538,-0.00862196382053406,-0.00546428811622663
50,True,0.1152485603860386,0.2638080568916458,0.4493458502704633,0.5300561514594087,0.005883613586907692,-0.7477327548717538,-0.006530079534857995,-0.005505907900174578
51,True,0.2994061767279101,0.2638080568916458,0.44577736688589115,0.5300561514594087,-0.0039997079888035025,-0.7477327548717538,-0.0030522816707454167,-0.002579361582782179
