task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-31 13:10:08.091000+00:00,2026-01-31 13:10:09.021000+00:00,2026-01-31 13:10:08.556000+00:00,0.19,0.03,0.36,0.42,1.6632547691160244,-2.1911492588314854,2.259168880516781,,
1,2026-01-31 13:10:15.252000+00:00,2026-01-31 13:10:15.803000+00:00,2026-01-31 13:10:15.527500+00:00,0.24,0.04,0.4,0.32,1.734693951649432,-0.43337121019075703,1.5587121996836353,,
2,2026-01-31 13:10:19.710000+00:00,2026-01-31 13:10:20.259000+00:00,2026-01-31 13:10:19.984500+00:00,0.25,0.03,0.38,0.34,1.7113934461788967,-0.7410630702388953,1.9165257079235638,-2.0654699086888666,3.958526178944749
3,2026-01-31 13:10:27.151000+00:00,2026-01-31 13:10:27.917000+00:00,2026-01-31 13:10:27.534000+00:00,0.26,0.04,0.35,0.35,1.7512437511991759,-0.6708216471855527,2.9873022720879288,0.3779332831014809,1.1290009553067042
4,2026-01-31 13:10:33.053000+00:00,2026-01-31 13:10:33.601000+00:00,2026-01-31 13:10:33.327000+00:00,0.16,0.08,0.43,0.33,1.7659122858665741,2.0307532727815896,1.1845981769771454,2.6313334969137996,3.117072863462984
5,2026-01-31 13:10:39.729000+00:00,2026-01-31 13:10:40.280000+00:00,2026-01-31 13:10:40.004500+00:00,0.17,0.05,0.36,0.42,1.7069447839342633,-2.293415432675798,1.9884610849357045,-0.7425583182449434,1.4765483191253723
6,2026-01-31 13:10:45.990000+00:00,2026-01-31 13:10:46.845000+00:00,2026-01-31 13:10:46.417500+00:00,0.15,0.05,0.5,0.3,1.6477309221223657,2.349495040374546,3.4943487242710534,-3.5992914358514416,12.577179437147214
7,2026-01-31 13:10:53.393000+00:00,2026-01-31 13:10:53.929000+00:00,2026-01-31 13:10:53.661000+00:00,0.17,0.07,0.42,0.34,1.757961978628109,2.3638284298366288,0.6457901391551238,1.654608223591325,1.0685296749602542
8,2026-01-31 13:11:01.151000+00:00,2026-01-31 13:11:01.739000+00:00,2026-01-31 13:11:01.445000+00:00,0.23,0.06,0.4,0.31,1.7837670956655218,-0.14000329006117274,1.8747050848010094,-2.518165109359884,4.720816934885464
9,2026-01-31 13:11:09.517000+00:00,2026-01-31 13:11:10.308000+00:00,2026-01-31 13:11:09.912500+00:00,0.16,0.03,0.41,0.4,1.630939754908518,-2.9467382099897543,2.781432157233574,-0.3029032000307801,0.8425047010945654
