task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-02-01 10:09:00.362000+00:00,2026-02-01 10:09:01.287000+00:00,2026-02-01 10:09:00.824500+00:00,0.31,0.25,0.23,0.21,1.9842853774345839,0.4937144528659814,1.5470749661380634,,
1,2026-02-01 10:09:05.323000+00:00,2026-02-01 10:09:05.873000+00:00,2026-02-01 10:09:05.598000+00:00,0.34,0.19,0.23,0.24,1.9662023461294043,-0.8819369827622277,0.875398049071447,,
2,2026-02-01 10:09:10.242000+00:00,2026-02-01 10:09:10.836000+00:00,2026-02-01 10:09:10.539000+00:00,0.31,0.22,0.23,0.24,1.986170127388506,-1.173936570039867,0.7205622202399633,1.0836518483505697,0.7808385818146265
3,2026-02-01 10:09:14.882000+00:00,2026-02-01 10:09:22.308000+00:00,2026-02-01 10:09:18.595000+00:00,0.31,0.18,0.25,0.26,1.9743904591350214,-2.2798267706625595,1.745474230157276,-0.8138906133450532,1.42062509176069
4,2026-02-01 10:09:27.424000+00:00,2026-02-01 10:09:27.971000+00:00,2026-02-01 10:09:27.697500+00:00,0.25,0.25,0.24,0.26,1.9994227679976055,-2.7228570916339776,1.7341257101948742,0.6628598796512744,1.149482359559955
5,2026-02-01 10:09:32.401000+00:00,2026-02-01 10:09:32.934000+00:00,2026-02-01 10:09:32.667500+00:00,0.31,0.23,0.25,0.21,1.9842853774345839,0.6009903195329395,0.9879225443776506,-2.5163075750412514,2.485916981971509
6,2026-02-01 10:09:39.664000+00:00,2026-02-01 10:09:40.422000+00:00,2026-02-01 10:09:40.043000+00:00,0.31,0.18,0.28,0.23,1.9709902052261714,-2.98897103062619,0.9012548511773046,5.652561853033125,5.094398791625879
7,2026-02-01 10:09:45.382000+00:00,2026-02-01 10:09:45.938000+00:00,2026-02-01 10:09:45.660000+00:00,0.25,0.23,0.34,0.18,1.9621490261535008,2.0738942938046643,3.7130950366059388,-3.9135439397691894,14.531360578296228
8,2026-02-01 10:09:51.522000+00:00,2026-02-01 10:09:52.053000+00:00,2026-02-01 10:09:51.787500+00:00,0.36,0.29,0.16,0.19,1.9267624731148076,0.6261171296636873,5.194040728455914,-0.22745718139224458,1.181421864131103
9,2026-02-01 10:09:58.662000+00:00,2026-02-01 10:09:59.382000+00:00,2026-02-01 10:09:59.022000+00:00,0.33,0.2,0.25,0.22,1.9727815078652908,0.06871805607882087,0.6534976934139219,0.8903780905561103,0.5818600284447102
10,2026-02-01 10:10:13.061000+00:00,2026-02-01 10:10:13.566000+00:00,2026-02-01 10:10:13.313500+00:00,0.33,0.18,0.22,0.27,1.9637250484427689,-1.8548733952019307,1.6724934780178002,-1.366192377695886,2.2849478414140005
11,2026-02-01 10:10:22.162000+00:00,2026-02-01 10:10:22.956000+00:00,2026-02-01 10:10:22.559000+00:00,0.29,0.22,0.23,0.26,1.9914331684777948,-2.093967902851284,1.4666424665220623,1.684496943631399,2.4705547522564304
12,2026-02-01 10:10:28.766000+00:00,2026-02-01 10:10:29.266000+00:00,2026-02-01 10:10:29.016000+00:00,0.32,0.19,0.18,0.31,1.9503626057412977,-2.030804106823729,2.6173404247161867,0.30225830367690953,0.7911128769197165
13,2026-02-01 10:10:35.247000+00:00,2026-02-01 10:10:35.750000+00:00,2026-02-01 10:10:35.498500+00:00,0.29,0.22,0.2,0.29,1.98076663752321,-2.091935220813372,2.2794787917902966,-0.12429491001720017,0.28332761131169104
14,2026-02-01 10:10:43.446000+00:00,2026-02-01 10:10:44.074000+00:00,2026-02-01 10:10:43.760000+00:00,0.29,0.27,0.21,0.23,1.9884161669270328,0.36695923713120526,0.9491361481348448,2.5200255719342213,2.391847364546956
15,2026-02-01 10:10:51.682000+00:00,2026-02-01 10:10:52.240000+00:00,2026-02-01 10:10:51.961000+00:00,0.4,0.14,0.23,0.23,1.9012167629462835,0.46521718469084117,1.3450002218952355,-2.360636510384941,3.17505663028174
16,2026-02-01 10:11:00.522000+00:00,2026-02-01 10:11:01.292000+00:00,2026-02-01 10:11:00.907000+00:00,0.32,0.22,0.21,0.25,1.9794305274474606,-1.039631157891805,1.0847798725771771,-1.6031062901422821,1.7390174371482159
17,2026-02-01 10:11:04.842000+00:00,2026-02-01 10:11:05.382000+00:00,2026-02-01 10:11:05.112000+00:00,0.32,0.18,0.28,0.22,1.9661353552390481,2.6081909133414265,0.475973725391793,-1.13051489336371,0.5380953854052306
18,2026-02-01 10:11:16.921000+00:00,2026-02-01 10:11:17.712000+00:00,2026-02-01 10:11:17.316500+00:00,0.42,0.12,0.2,0.26,1.8623874264280764,0.4515008701463868,0.9114607268820557,0.4786731927513159,0.43629181620406876
19,2026-02-01 10:11:26.031000+00:00,2026-02-01 10:11:26.565000+00:00,2026-02-01 10:11:26.298000+00:00,0.27,0.21,0.3,0.22,1.9845077706244114,2.782026712927222,1.6947165890094766,4.487215885975875,7.604559200430171
20,2026-02-01 10:11:32.691000+00:00,2026-02-01 10:11:33.451000+00:00,2026-02-01 10:11:33.071000+00:00,0.33,0.18,0.24,0.25,1.9672645825103234,-1.8039524191771645,1.040449954991353,-0.633319667705635,0.6589374197594666
21,2026-02-01 10:11:37.933000+00:00,2026-02-01 10:11:38.447000+00:00,2026-02-01 10:11:38.190000+00:00,0.31,0.18,0.25,0.26,1.9743904591350214,-2.2798267706625595,1.745474230157276,-2.173080526560595,3.7930560591681224
22,2026-02-01 10:11:44.176000+00:00,2026-02-01 10:11:44.739000+00:00,2026-02-01 10:11:44.457500+00:00,0.36,0.19,0.22,0.23,1.954082755708251,-0.1368559868472199,1.4101945319186446,2.6188451353007345,3.6930810897428388
23,2026-02-01 10:11:50.730000+00:00,2026-02-01 10:11:51.501000+00:00,2026-02-01 10:11:51.115500+00:00,0.28,0.29,0.19,0.24,1.981485095284392,0.5809617634240448,0.9827089374742196,-1.425153033544075,1.4005106233322588
24,2026-02-01 10:11:57.610000+00:00,2026-02-01 10:11:58.169000+00:00,2026-02-01 10:11:57.889500+00:00,0.33,0.21,0.24,0.22,1.9753535153298054,0.046201861467656466,0.9553254276176885,-1.2525776522276537,1.1966192812387435
25,2026-02-01 10:12:03.811000+00:00,2026-02-01 10:12:04.384000+00:00,2026-02-01 10:12:04.097500+00:00,0.25,0.26,0.28,0.21,1.9923317786547527,2.147193997226334,1.6823418951680373,2.6357520377150676,4.434236078322583
26,2026-02-01 10:12:09.834000+00:00,2026-02-01 10:12:10.659000+00:00,2026-02-01 10:12:10.246500+00:00,0.23,0.27,0.29,0.21,1.9884161669270326,2.255386952071713,2.4787960657723653,-1.9927991809132983,4.939742769522276
27,2026-02-01 10:12:15.942000+00:00,2026-02-01 10:12:19.556000+00:00,2026-02-01 10:12:17.749000+00:00,0.28,0.16,0.31,0.25,1.961031907935309,-3.0592959919158287,3.0696139118211088,0.8603094083466649,2.6408177283315095
28,2026-02-01 10:12:21.513000+00:00,2026-02-01 10:12:22.056000+00:00,2026-02-01 10:12:21.784500+00:00,0.35,0.24,0.17,0.24,1.9529564504856507,0.031351330892407235,2.219436659894063,2.1221449596161923,4.709966320981583
29,2026-02-01 10:12:28.990000+00:00,2026-02-01 10:12:29.727000+00:00,2026-02-01 10:12:29.358500+00:00,0.31,0.24,0.24,0.21,1.9848866744252183,0.5187736359293851,1.2611912870672366,-2.603225017771258,3.283164710688563
