t,valid,kappa,MQ,a,kL,kS,mL,g,h,MRS_old,MRS_valley,MRS_gmm,MRS_h
0.0,0,,0.4566840632747774,,0.4564272021995395,0.0076482647942771,1.2189017840177503,-0.00640304929802828,,0,0,0,0
1.0,0,,0.4566840632747774,,0.4293060105832229,0.00300401468998,1.2189017840177503,-0.004543255081997672,,0,0,0,0
2.0,1,0.5620407083103386,0.4566840632747774,0.1627751800458567,0.4564272021995395,0.0053429784954505,1.2189017840177503,-0.00559185240386568,-0.01611182726354023,0,0,0,0
3.0,1,1.1466221748510794,0.4566840632747774,0.141849390992512,0.413154488050879,0.0025884841138344,1.2189017840177503,-0.004262713885054899,-0.013775171478387208,0,0,0,0
4.0,1,0.1250667404977034,0.4566840632747774,0.131362478555142,0.413154488050879,0.0070148901765144,1.2189017840177503,-0.005820302134365275,-0.014773062904734274,0,0,0,0
5.0,1,0.3970029655185352,0.4566840632747774,0.1464377813549421,0.4564272021995395,0.0054611617227102,1.2189017840177503,-0.005633439371585907,-0.015379711945958758,0,0,0,0
6.0,1,0.174608917555913,0.4566840632747774,0.1328188487338156,0.4564272021995395,0.0016481766125193,1.2189017840177503,-0.004291705080079688,-0.013324230585624857,0,0,0,0
7.0,1,0.8002146392123923,0.4566840632747774,0.3474101607959988,0.5193820731609051,0.0071878304194326,1.2189017840177503,-0.006764584955191903,-0.016735020055234275,0,0,0,0
8.0,1,0.5552157525059542,0.4566840632747774,0.5013435688013311,0.5193820731609051,0.0204028087549636,1.2189017840177503,-0.011414744628489442,-0.0008190901649240481,1,0,1,0
9.0,1,0.6150420612996985,0.4566840632747774,0.3968323956484597,0.4564272021995395,0.015228323866267,1.2189017840177503,-0.009070362412194218,-0.014891765100442992,0,0,0,0
10.0,1,0.2078637463829497,0.4566840632747774,0.3691323328510129,0.4564272021995395,0.0140957849098323,1.2189017840177503,-0.008671838339741436,-0.017074207406009526,0,0,0,0
11.0,1,0.1767575913494595,0.4566840632747774,0.2938141299319086,0.4564272021995395,0.0059403436308121,1.2189017840177503,-0.0058020565519287665,-0.018085778733573782,0,0,0,0
12.0,1,0.3939187850824254,0.4566840632747774,0.2502663745271716,0.4564272021995395,-0.0017569745244479,1.2189017840177503,-0.00309348166294142,-0.015818300256185816,0,0,0,0
13.0,1,1.441353576966552,0.4566840632747774,0.2655080477574315,0.4564272021995395,-0.0089168187835883,1.2189017840177503,-0.0005740360614736396,-0.013277696568192946,0,0,0,0
14.0,1,2.1654639591699185,0.4566840632747774,0.3215538956515621,0.3779402728392947,-0.0078123729060621,1.2189017840177503,-0.0003099484262319717,-0.011659772883009107,0,0,0,0
15.0,1,0.2642152814749301,1.9811195047607235,0.4176433825413152,0.3219363325730305,-0.0019787930036119,0.3105266581820327,-0.001959611889704899,-0.0053861655353101,0,0,0,0
16.0,1,0.04344604440647,1.9811195047607235,0.4331868737046228,0.3219363325730305,-0.007628586512946,-0.3419505213989091,-1.6539706335766706e-05,-0.0013854936438586173,0,0,1,0
17.0,1,1.0447264129400735,1.9811195047607235,0.2788110145966611,0.3779402728392947,-0.0026361421427261,-0.3419505213989091,-0.002239058002942244,-0.014809165437423083,0,0,0,0
