task_idx,start_utc,end_utc,mid_utc,p00,p01,p10,p11,Entropy,theta_q,radius,d2theta,kappa_H
0,2026-01-02 02:34:38.499000+00:00,2026-01-02 02:34:41.384000+00:00,2026-01-02 02:34:39.941500+00:00,0.36,0.23,0.2,0.21,1.9554916616017128,-0.8552775929242151,1.2791515816351346,,
1,2026-01-02 02:34:47.018000+00:00,2026-01-02 02:34:47.548000+00:00,2026-01-02 02:34:47.283000+00:00,0.34,0.29,0.22,0.15,1.9381957897216413,0.8384051716329878,2.4561682557390694,,
2,2026-01-02 02:34:56.297000+00:00,2026-01-02 02:34:57.027000+00:00,2026-01-02 02:34:56.662000+00:00,0.36,0.19,0.23,0.22,1.954082755708251,-1.6797111617406015,1.565043321422387,-4.2117990979307915,6.591648049389419
3,2026-01-02 02:35:02.678000+00:00,2026-01-02 02:35:03.173000+00:00,2026-01-02 02:35:02.925500+00:00,0.33,0.2,0.25,0.22,1.9727815078652908,-2.117934479080323,1.7458276859357846,2.079893016033868,3.6311348111764072
4,2026-01-02 02:35:08.456000+00:00,2026-01-02 02:35:09.005000+00:00,2026-01-02 02:35:08.730500+00:00,0.37,0.21,0.25,0.17,1.9381390552527245,0.2746720567276433,0.7800115098463228,2.830829853147688,2.2080798678717724
5,2026-01-02 02:35:14.576000+00:00,2026-01-02 02:35:15.395000+00:00,2026-01-02 02:35:14.985500+00:00,0.29,0.2,0.27,0.24,1.9864454564531522,-2.4818619871391676,2.99078078421023,-5.149140579674777,15.399950700888446
6,2026-01-02 02:35:20.818000+00:00,2026-01-02 02:35:21.374000+00:00,2026-01-02 02:35:21.096000+00:00,0.28,0.23,0.27,0.22,1.992482980021201,-2.645973396500629,2.1556889739911345,2.5924226345053496,5.5884568891282305
7,2026-01-02 02:35:26.037000+00:00,2026-01-02 02:35:26.556000+00:00,2026-01-02 02:35:26.296500+00:00,0.35,0.18,0.37,0.1,1.838330078814314,1.8339881371793736,4.408755505292071,-1.6391123641381227,7.22644565918625
8,2026-01-02 02:35:31.198000+00:00,2026-01-02 02:35:31.893000+00:00,2026-01-02 02:35:31.545500+00:00,0.4,0.29,0.18,0.13,1.874626799615852,0.705940753133039,4.588513760318052,0.6751763894532492,3.098056153648094
9,2026-01-02 02:35:36.377000+00:00,2026-01-02 02:35:36.883000+00:00,2026-01-02 02:35:36.630000+00:00,0.24,0.26,0.3,0.2,1.9848980652250567,2.973233736600378,2.668991990171089,3.3953403675136737,9.062136244798555
10,2026-01-02 02:35:42.141000+00:00,2026-01-02 02:35:42.679000+00:00,2026-01-02 02:35:42.410000+00:00,0.33,0.2,0.2,0.27,1.9666152668476196,-1.961762349355397,2.9664026951598776,-0.9191037622435285,2.7264318774507865
11,2026-01-02 02:35:48.317000+00:00,2026-01-02 02:35:48.981000+00:00,2026-01-02 02:35:48.649000+00:00,0.38,0.23,0.21,0.18,1.9362513257303902,0.01404293761668587,1.5530918704079386,0.6276160657482719,0.9747454094510554
12,2026-01-02 02:36:00.157000+00:00,2026-01-02 02:36:00.737000+00:00,2026-01-02 02:36:00.447000+00:00,0.38,0.18,0.27,0.17,1.9203689258104855,0.6421051260917342,0.34324916834145025,-1.3477430984970344,0.46261169769703636
13,2026-01-02 02:36:06.519000+00:00,2026-01-02 02:36:07.274000+00:00,2026-01-02 02:36:06.896500+00:00,0.37,0.21,0.17,0.25,1.9381390552527245,-1.3432002649073895,2.053244080699094,-2.613367579474172,5.365881513246262
14,2026-01-02 02:36:12.517000+00:00,2026-01-02 02:36:13.060000+00:00,2026-01-02 02:36:12.788500+00:00,0.47,0.14,0.23,0.16,1.8197504905064688,0.5253249903119259,2.2856343425404058,3.853830646218439,8.80844767533155
15,2026-01-02 02:36:19.258000+00:00,2026-01-02 02:36:19.776000+00:00,2026-01-02 02:36:19.517000+00:00,0.35,0.19,0.26,0.2,1.9550009605959047,-2.045688172615174,1.008721136670635,-4.439538418146415,4.478256239445605
16,2026-01-02 02:36:24.220000+00:00,2026-01-02 02:36:24.967000+00:00,2026-01-02 02:36:24.593500+00:00,0.4,0.23,0.18,0.19,1.9169729741134134,-0.045222190940701186,2.1249099001746248,4.571479144601573,9.713981292805707
17,2026-01-02 02:36:30.699000+00:00,2026-01-02 02:36:31.205000+00:00,2026-01-02 02:36:30.952000+00:00,0.25,0.28,0.24,0.23,1.9960225140887555,-2.835933842828069,1.8993006257795535,-4.791177633561841,9.099886677645005
18,2026-01-02 02:36:35.517000+00:00,2026-01-02 02:36:36.018000+00:00,2026-01-02 02:36:35.767500+00:00,0.41,0.13,0.29,0.17,1.8625195329245368,1.908592831962792,0.6651928681250735,1.252053019498643,0.8328567390849609
19,2026-01-02 02:36:42.477000+00:00,2026-01-02 02:36:43.272000+00:00,2026-01-02 02:36:42.874500+00:00,0.3,0.22,0.26,0.22,1.9875247721751736,-2.4217167594361872,1.9055528061478797,3.4915343481693317,6.653303074915778
20,2026-01-02 02:36:47.257000+00:00,2026-01-02 02:36:47.762000+00:00,2026-01-02 02:36:47.509500+00:00,0.27,0.21,0.29,0.23,1.9884161669270328,-2.719639385191954,3.0816795151220235,-2.250798341536373,6.936239141783265
21,2026-01-02 02:36:53.599000+00:00,2026-01-02 02:36:54.087000+00:00,2026-01-02 02:36:53.843000+00:00,0.31,0.2,0.3,0.19,1.9644963083407705,-2.9951851404284238,1.6134456258494212,0.0223768705192966,0.036103863859557966
22,2026-01-02 02:36:57.817000+00:00,2026-01-02 02:36:58.578000+00:00,2026-01-02 02:36:58.197500+00:00,0.33,0.31,0.16,0.2,1.9390196551895302,0.42922836339110976,1.7385142019984967,-2.583226048123583,4.490975171635301
23,2026-01-02 02:37:04.504000+00:00,2026-01-02 02:37:04.982000+00:00,2026-01-02 02:37:04.743000+00:00,0.34,0.24,0.24,0.18,1.9627503231441352,0.09251115208158668,0.5014005806262647,2.52205459205053,1.264559636825273
